gene,depmap_column,dep_mean_GBM,dep_sd_GBM,dep_mean_nonCNS,dep_mean_all_lines,frac_GBM_lines_dependent,frac_all_lines_dependent,frac_nonCNS_lines_dependent,n_lines_measured,n_GBM_lines_measured,delta_GBM_minus_other,cohens_d,t_stat,n_GBM_lines,n_other_lines,gbm_line_sd,gbm_line_range,too_few_lines,pan_essential,tumour_dependency,therapeutic_window,passes_dependency,passes_window,passes_heterogeneity,dependency_tier
CDC45,CDC45 (8318),0.99999994,3.5697124e-07,0.9985383,0.9986471,1.0,0.9991721854304636,0.9991055456171736,1208,53,0.0014616251,0.076267116,1.8031952,53,1118,3.5697124e-07,2.6226044e-06,False,True,1.0,0.0014616400000000418,True,False,False,PAN-ESSENTIAL (no therapeutic window)
PPWD1,PPWD1 (23398),0.98912936,0.0640992,0.9941703,0.9940907,1.0,0.9975165562913908,0.9973166368515206,1208,53,-0.0050409436,-0.08503089,-0.5631198,53,1118,0.0640992,0.4711814,False,True,1.0,-0.005040939999999994,True,False,False,PAN-ESSENTIAL (no therapeutic window)
TANGO6,TANGO6 (79613),0.9779678,0.041670803,0.986183,0.98598033,1.0,0.9950331125827816,0.9946332737030412,1208,53,-0.008215189,-0.15687422,-1.3669963,53,1118,0.041670803,0.22049248,False,True,1.0,-0.008215199999999978,True,False,False,PAN-ESSENTIAL (no therapeutic window)
PCF11,PCF11 (51585),0.9603772,0.04783929,0.9255648,0.9284679,1.0,0.9718543046357616,0.9695885509838998,1208,53,0.03481239,0.3249257,4.433037,53,1118,0.04783929,0.24127108,False,True,1.0,0.03481240000000008,True,False,False,PAN-ESSENTIAL (no therapeutic window)
TARS1,TARS1 (6897),0.9995736,0.0023102695,0.9974663,0.99759,1.0,0.9991721854304636,0.9991055456171736,1208,53,0.0021072626,0.12140949,2.6447468,53,1118,0.0023102695,0.016454041,False,True,1.0,0.002107299999999923,True,False,False,PAN-ESSENTIAL (no therapeutic window)
CDC5L,CDC5L (988),0.9992736,0.002211464,0.99702,0.99711466,1.0,1.0,1.0,1208,53,0.002253592,0.2645721,4.8300514,53,1118,0.002211464,0.014745951,False,True,1.0,0.0022535999999999667,True,False,False,PAN-ESSENTIAL (no therapeutic window)
PPP2R1A,PPP2R1A (5518),0.9807684,0.029972862,0.8266509,0.8354818,1.0,0.8600993377483444,0.8524150268336315,1208,53,0.15411747,0.7255461,15.659296,53,1118,0.029972862,0.13272482,False,True,1.0,0.15411750000000002,True,False,False,PAN-ESSENTIAL (no therapeutic window)
NVL,NVL (4931),0.98890615,0.024694195,0.96635836,0.9670721,1.0,0.9867549668874172,0.9865831842576028,1208,53,0.022547781,0.30447543,4.9474025,53,1118,0.024694195,0.13325411,False,True,1.0,0.022547790000000068,True,False,False,PAN-ESSENTIAL (no therapeutic window)
NOL6,NOL6 (65083),0.9750709,0.02445088,0.94728506,0.94873625,1.0,0.9834437086092715,0.983005366726297,1208,53,0.027785838,0.33032665,5.743663,53,1118,0.02445088,0.095843434,False,True,1.0,0.02778583999999995,True,False,False,PAN-ESSENTIAL (no therapeutic window)
PRPF4,PRPF4 (9128),0.96277916,0.0688701,0.97870386,0.9781854,1.0,0.9975165562913908,0.9973166368515206,1208,53,-0.015924692,-0.24919312,-1.6552746,53,1118,0.0688701,0.3725425,False,True,1.0,-0.015924700000000014,True,False,False,PAN-ESSENTIAL (no therapeutic window)
DDX56,DDX56 (54606),0.9999349,0.0003477312,0.9993609,0.9993852,1.0,1.0,1.0,1208,53,0.00057399273,0.19068857,4.233557,53,1118,0.0003477312,0.0024340749,False,True,1.0,0.0005739999999999634,True,False,False,PAN-ESSENTIAL (no therapeutic window)
RPS10,RPS10 (6204),0.9472927,0.09287464,0.9737246,0.97247297,1.0,1.0,1.0,383,25,-0.026431918,-0.3516269,-2.0568364,53,1118,0.09287464,0.47370344,False,True,1.0,-0.026431900000000064,True,False,False,PAN-ESSENTIAL (no therapeutic window)
DDX55,DDX55 (57696),0.98769367,0.046767544,0.96621,0.9680084,1.0,0.9892384105960264,0.9883720930232558,1208,53,0.02148366,0.27247643,3.025186,53,1118,0.046767544,0.33737892,False,True,1.0,0.021483669999999955,True,False,False,PAN-ESSENTIAL (no therapeutic window)
NUTF2,NUTF2 (10204),0.9984303,0.0030071095,0.9868055,0.98765916,1.0,0.9917218543046358,0.9910554561717352,1208,53,0.011624813,0.19878381,4.6386676,53,1118,0.0030071095,0.013080716,False,True,1.0,0.01162479999999999,True,False,False,PAN-ESSENTIAL (no therapeutic window)
DDX54,DDX54 (79039),0.9924026,0.025047924,0.9872383,0.9877831,1.0,0.995860927152318,0.9955277280858676,1208,53,0.0051643252,0.119053766,1.3495958,53,1118,0.025047924,0.17609227,False,True,1.0,0.0051643000000000105,True,False,False,PAN-ESSENTIAL (no therapeutic window)
CDC7,CDC7 (8317),0.9988535,0.0054799765,0.99759007,0.99770373,1.0,0.9983443708609272,0.998211091234347,1208,53,0.0012634397,0.05006501,0.97504824,53,1118,0.0054799765,0.037567437,False,True,1.0,0.0012634299999999543,True,False,False,PAN-ESSENTIAL (no therapeutic window)
AKIRIN2,AKIRIN2 (55122),0.93664426,0.08195786,0.8998652,0.89988333,1.0,0.9536423841059604,0.9516994633273704,1208,53,0.036779046,0.2831432,2.9938943,53,1118,0.08195786,0.4024024,False,True,1.0,0.036779059999999975,True,False,False,PAN-ESSENTIAL (no therapeutic window)
NUS1,NUS1 (116150),0.99038327,0.018428326,0.9867542,0.98685503,1.0,0.9933774834437086,0.992844364937388,1208,53,0.0036290884,0.074666366,1.1291449,53,1118,0.018428326,0.118169606,False,True,1.0,0.003629070000000012,True,False,False,PAN-ESSENTIAL (no therapeutic window)
DDX49,DDX49 (54555),0.999006,0.005595069,0.9966878,0.99686146,1.0,0.9991721854304636,0.9991055456171736,1208,53,0.0023181438,0.099586576,1.8728975,53,1118,0.005595069,0.039282322,False,True,1.0,0.002318199999999937,True,False,False,PAN-ESSENTIAL (no therapeutic window)
