cluster,subtype,rank_in_class,gene,gene_id,gene_type,combined_score,identity_score,survival_score,mean_z_in_class,best_other_class_mean_z,specificity_margin,cohens_d,p_value,fdr,dep_mean_GBM,dep_mean_nonCNS,therapeutic_window,frac_GBM_lines_dependent,frac_all_lines_dependent,gbm_line_sd,dependency_tier,pan_essential,protein_function,gbm_evidence,subtype_link,druggable,cancer_relevance,verdict,sources_joined,drug_status,drug_detail,wrong_direction,subtype_mismatch,evidence_weight,drug_weight,final_score,tier,final_rank
0,MTC,1,RPP25L,ENSG00000164967.10,protein_coding,0.6895956346977101,0.4755421393941376,1.0,1.0327232167949585,0.3194100077037519,0.7133132090912064,1.1002443380941571,1.92709202787084e-05,6.83847988602505e-05,0.8013381,0.36726177,0.43407633,0.8113207547169812,0.3294701986754967,0.27223882,A · selective + heterogeneous,False,"Alba-fold paralog of RPP25 that substitutes into the RNase P/MRP ribonucleoprotein complexes, contributing to tRNA 5'-end maturation and rRNA processing.","Direct and specific. SNO 2022 abstract EXTH-61 (Neuro-Oncology): glioblastomas that silence RPP25 by promoter hypermethylation become dependent on RPP25L - 'cell lines that do not express RPP25 (SF295, GB1, LN18) exhibit a rapid reduction in viability upon RPP25L loss', with 'a marked reduction in nascent polypeptide formation', validated 'in glioblastoma patient-derived neurospheres with loss of RPP25 expression'.","none found. RPP25L biology is tRNA/rRNA processing and translation, not mitochondrial or OXPHOS. The paralog RPP25 (a different gene) was linked to GBM metabolism in Front Oncol 2021, but the dominant signal there is glycolytic, not OXPHOS.","None known. Pharos classifies RPP25L as 'Tdark' (no known ligands, drugs or tool compounds). Approval status: none known.",Paralog/collateral-lethality target: RPP25 promoter hypermethylation creates a selective RPP25L dependency. Same class as SMARCA2/4 and PRMT5/MTAP.,STRONG,https://academic.oup.com/neuro-oncology/article/24/Supplement_7/vii223/6826803 | https://pharos.nih.gov/targets/RPP25L | https://www.ncbi.nlm.nih.gov/gene/138716 | https://www.uniprot.org/uniprotkb/Q99JH1/entry,NONE KNOWN,"None known. Pharos classifies RPP25L as 'Tdark' (no known ligands, drugs or tool compounds). Approval status: none known.",,"tRNA/rRNA processing, not OXPHOS — but carries direct published GBM evidence, so it stays on merit.",1.0,0.15,0.5682186757119833,"TIER 2 · credible target, no drug yet",1
0,MTC,4,RPL41,ENSG00000229117.9,protein_coding,0.323177828742458,0.6782045142565933,0.1540006101333232,1.3611499034277916,0.3438431320429017,1.01730677138489,1.732056444531956,3.358714314577797e-11,1.1183258606546355e-09,0.3954746,0.2600225,0.1354521,0.3260869565217391,0.1779816513761468,0.27887592,A · selective + heterogeneous,False,"eL41, the smallest known ribosomal protein (25 amino acids), a 60S subunit component at the intersubunit bridge of the 80S ribosome, which also destabilises the transcription factor ATF4 outside the ribosome.","None found. A PubMed query for RPL41 AND (glioma OR glioblastoma OR brain) returns 5 records, none about RPL41 biology in glioma. Human Protein Atlas lists RPL41 as prognostic only in renal cancer.","MISMATCH for MTC. RPL41 is a CYTOPLASMIC 80S ribosome component, not a mitoribosomal protein (those are the MRPL/MRPS families), and no publication links it to mitochondria, the respiratory chain or OXPHOS.","No inhibitor exists, and inhibition is the wrong modality: the published agent is the RPL41 peptide used as a REPLACEMENT, which enhanced carboplatin's antitumour effect in retinoblastoma. Approval status: preclinical peptide only.","Points the OPPOSITE way from an oncogenic dependency. RPL41 is repeatedly described as a TUMOUR SUPPRESSOR - deleted in ~59% of tumour cell lines and downregulated in ~75% of primary breast cancers (Neoplasia 2010). And it is NOT an escape from the pan-essential trap: a 2025 in vivo single-cell CRISPR screen found that, contrary to its prior classification as nonessential, RPL41 is essential for cellular proliferation and strongly impairs protein synthesis in NORMAL mouse epidermis.",WEAK,https://pubmed.ncbi.nlm.nih.gov/20234822/ | https://www.biorxiv.org/content/10.1101/2025.03.17.643322v1 | https://www.proteinatlas.org/ENSG00000229117-RPL41/pathology | https://pubmed.ncbi.nlm.nih.gov/32783256/,PRECLINICAL,"No inhibitor exists, and inhibition is the wrong modality: the published agent is the RPL41 peptide used as a REPLACEMENT, which enhanced carboplatin's antitumour effect in retinoblastoma. Approval status: preclinical peptide only.","TUMOUR SUPPRESSOR, and a pan-essential ribosomal protein after all. Deleted in ~59% of tumour cell lines; a 2025 in vivo CRISPR screen found it IS required for proliferation of normal tissue, overturning its old ""nonessential"" label. It passed the statistical gates and was caught only by reading the literature.",,0.3,0.45,0.3376755831841013,EXCLUDED · wrong therapeutic direction,2
0,MTC,9,ATP5MC1,ENSG00000159199.14,protein_coding,0.220318279725738,0.531468323667356,0.0913321494804451,1.1777439335508206,0.3805414480497865,0.797202485501034,1.322415360618397,7.877824247397025e-07,4.396345196866969e-06,0.41861886,0.34272847,0.0758903899999999,0.3962264150943396,0.2259933774834437,0.21603942,A · selective + heterogeneous,False,Subunit c isoform P1 of the F0 rotor c-ring of mitochondrial ATP synthase (complex V); the c-ring conducts protons across the inner membrane and drives rotary ATP synthesis.,none found for ATP5MC1 specifically. Human Protein Atlas does not report it as prognostic in glioma.,"Strong on first principles and by gene identity: this is core OXPHOS machinery (complex V, the terminal step of oxidative phosphorylation), directly consistent with an OXPHOS-high / MTC subtype. Supported by gene annotation rather than by a GBM-subtype-specific publication.","Yes, at the complex level. Oligomycin binds the c-ring of mitochondrial ATP synthase (PNAS 2012), with the binding site formed by the c-subunit ring. Oligomycin is a research tool compound only (too toxic for systemic human use). Bedaquiline targets the mycobacterial c-ring, not the human enzyme. Approval status: no approved drug against the human ATP synthase c-subunit.","ATP synthase inhibition is an established anticancer strategy for OXPHOS-dependent tumours, but no ATP5MC1-specific cancer study was found - the evidence is for the complex, not this subunit gene.",MODERATE,https://www.pnas.org/doi/10.1073/pnas.1207912109 | https://www.ncbi.nlm.nih.gov/gene/516,TOOL COMPOUND,oligomycin binds the ATP synthase c-ring. Research tool only — too toxic for systemic human use.,,,0.65,0.35,0.33435889540074565,TIER 1 · actionable,3
0,MTC,5,SCNM1,ENSG00000163156.12,protein_coding,0.2890931353879452,0.6023281266233076,0.1387530105840467,1.1329538261353824,0.229461636200421,0.9034921899349614,1.4359010495836713,5.715457658204155e-10,1.0652023838295337e-08,0.48732287,0.38828358,0.09903929,0.490566037735849,0.3220198675496689,0.2323551,A · selective + heterogeneous,False,"Zinc-finger component of the minor (U12-dependent) spliceosome, required for correct splicing of U12-type introns.",none found,"none found. No mitochondrial, OXPHOS or oxidative-metabolism role reported.",None known specifically for SCNM1. Approval status: none known.,"Hepatocellular carcinoma: Ann Surg Oncol 2025 (PMID 40172715) reports SCNM1 is elevated via chromosome 1q amplification and that 'via its splicing activity, SCNM1 promotes tumor growth, suppresses apoptosis', with high expression an independent poor-prognosis factor. The authors propose it as a cancer-specific therapeutic target.",MODERATE,https://link.springer.com/article/10.1245/s10434-025-17108-z | https://pubmed.ncbi.nlm.nih.gov/40172715/,NONE KNOWN,None known specifically for SCNM1. Approval status: none known.,,,0.65,0.15,0.3233040525720219,"TIER 2 · credible target, no drug yet",4
0,MTC,6,NUDT16L1,ENSG00000168101.14,protein_coding,0.2678784297746849,0.7116830830940923,0.1008297862393667,1.3581098318441494,0.2905852072030108,1.0675246246411385,1.8009786844895583,4.172672538974562e-10,8.286747361738217e-09,0.37508154,0.28157434,0.0935072,0.320754716981132,0.1771523178807947,0.23419687,A · selective + heterogeneous,False,"Also called TIRR; a catalytically inactive Nudix-fold protein that binds and masks the 53BP1 tandem Tudor domain, restraining 53BP1 recruitment to DNA double-strand breaks and controlling repair pathway choice.",none found,"Indirect but genuinely mitochondrial: Redox Biology 2024, 'Overexpression of NUDT16L1 sustains proper function of mitochondria and leads to ferroptosis insensitivity in colorectal cancer'. This is colorectal, not GBM, so the MTC link is by analogy only.","No confirmed inhibitor or tool compound. The TIRR-53BP1 Tudor interface has been structurally characterised (Nature 2017; Nat Commun 2018) and is discussed as a druggable protein-protein interface, but no named compound confirmed. Approval status: none known.","Two threads: DNA-repair regulation via 53BP1, directly relevant to radiotherapy and PARP-inhibitor response - germane to GBM given radiotherapy is standard of care; and mitochondrial fitness / ferroptosis resistance in colorectal cancer.",MODERATE,https://www.nature.com/articles/nature21358 | https://www.nature.com/articles/s41467-018-04557-2 | https://www.sciencedirect.com/science/article/pii/S2213231724003367,NONE KNOWN,"No confirmed inhibitor or tool compound. The TIRR-53BP1 Tudor interface has been structurally characterised (Nature 2017; Nat Commun 2018) and is discussed as a druggable protein-protein interface, but no named compound confirmed. Approval status: none known.",,,0.65,0.15,0.31121543716543865,"TIER 2 · credible target, no drug yet",5
0,MTC,3,C19orf25,ENSG00000119559.17,protein_coding,0.3442653467614469,0.392673983213086,0.3018245008518038,0.9077522953747365,0.3187413205551074,0.589010974819629,1.1790474295335451,7.499023083081777e-07,4.226184718904287e-06,0.50518906,0.2973714,0.2078176599999999,0.5283018867924528,0.2524834437086092,0.33878407,A · selective + heterogeneous,False,Uncharacterised small protein (CS025) of unknown molecular function; no experimentally established biochemical activity or pathway assignment.,none found,none found,"None known. No inhibitor, drug or tool compound identified; the protein has essentially no functional annotation to design against. Approval status: none known.",none found beyond descriptive expression-atlas entries; no functional cancer study located.,NOVEL,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C19orf25 | https://www.proteinatlas.org/ENSG00000119559-C19orf25/pathology,NONE KNOWN,"None known. No inhibitor, drug or tool compound identified; the protein has essentially no functional annotation to design against. Approval status: none known.",,,0.35,0.15,0.2930119413396219,"TIER 3 · hypothesis, little literature",6
0,MTC,2,BNIP1,ENSG00000113734.18,protein_coding,0.3469956565677843,0.8475544392597795,0.1420628340783225,1.378298007535997,0.1069663486463278,1.2713316588896693,1.7983919915073543,1.5022560618147822e-10,3.7106589749509475e-09,0.62431926,0.5451684,0.07915086,0.6415094339622641,0.5629139072847682,0.28449735,A · selective + heterogeneous,False,"BH3-only Bcl-2 family member that doubles as a syntaxin-18-associated SNARE regulating endoplasmic reticulum membrane fusion and ER morphology, and can trigger apoptosis when de-repressed.",none found,"none found. Despite the BNIP family name, BNIP1 is an ER/SNARE protein, not a mitochondrial protein - unlike BNIP3/BNIP3L which are genuine mitophagy receptors. No OXPHOS or oxidative-metabolism evidence located.","None known. BH3 mimetics (venetoclax etc.) target BCL2/BCL-xL, not BNIP1. Approval status: none known.","Weak and indirect: one cervical cancer study reports BNIP1 inhibits proliferation, migration and invasion and promotes apoptosis via mTOR (PMID 30840260) - i.e. it behaves as a tumour suppressor there, which argues AGAINST inhibiting it.",WEAK,https://pmc.ncbi.nlm.nih.gov/articles/PMC514507/ | https://pubmed.ncbi.nlm.nih.gov/30840260/ | https://www.genecards.org/card/BNIP1,NONE KNOWN,"None known. BH3 mimetics (venetoclax etc.) target BCL2/BCL-xL, not BNIP1. Approval status: none known.",Behaves as a tumour suppressor in the one functional cancer study available (cervical): it inhibits proliferation and promotes apoptosis.,,0.3,0.15,0.2808773037734475,EXCLUDED · wrong therapeutic direction,7
0,MTC,10,UNC50,ENSG00000115446.12,protein_coding,0.212184567022462,0.1579945776894084,0.2849609849966886,0.706533329617189,0.4695414630830762,0.2369918665341127,0.8153539380888275,0.0005448062568224,0.0012200664263549,0.6505223,0.49815032,0.15237198,0.6415094339622641,0.4842715231788079,0.3237313,A · selective + heterogeneous,False,"Conserved multi-pass Golgi / inner-nuclear-membrane protein that regulates vesicular trafficking, required for trafficking of nicotinic acetylcholine receptors.",none found,none found. A secretory-pathway/trafficking protein; no mitochondrial or OXPHOS role reported.,None known. Approval status: none known.,"One mechanistic study: 'UNC50 Prompts G1/S Transition and Proliferation in HCC by Regulation of Epidermal Growth Factor Receptor Trafficking' (PLOS One 2015, PMID 25738771). The EGFR-trafficking mechanism is conceptually interesting for GBM given EGFR amplification, but this connection is entirely unpublished in glioma.",MODERATE,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0119338 | https://rupress.org/jcb/article/216/10/3249/38953/,NONE KNOWN,None known. Approval status: none known.,,,0.65,0.15,0.2769804746923451,"TIER 2 · credible target, no drug yet",8
0,MTC,11,MZT2A,ENSG00000173272.16,protein_coding,0.2092317421517993,0.2662417317277284,0.1644292261764825,0.5884084314897108,0.189045833898118,0.3993625975915927,0.6031441234946991,0.0105567917443548,0.0168701543472125,0.49594966,0.3806247,0.11532496,0.5,0.3161413562559694,0.2227534,A · selective + heterogeneous,False,"Mitotic-spindle organizing protein 2A (MOZART2), a small component of the gamma-tubulin ring complex that regulates microtubule nucleation and mitotic spindle assembly.",none found,none found. Centrosome/spindle biology; no mitochondrial or OXPHOS link reported.,"None known for MZT2A itself. Microtubule-targeting agents act on tubulin, not on this gamma-TuRC accessory subunit. Approval status: none known.","Reasonably supported outside the CNS: NSCLC - MZT2A promotes viability and invasion by increasing Akt phosphorylation and predicts poor prognosis (Cancer Sci 2021, PMID 33754417); clear-cell renal cell carcinoma prognostic biomarker; lung adenocarcinoma cisplatin resistance via NEMO ubiquitination and NF-kB.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/33754417/ | https://www.sciencedirect.com/science/article/pii/S2405844024117264,NONE KNOWN,"None known for MZT2A itself. Microtubule-targeting agents act on tubulin, not on this gamma-TuRC accessory subunit. Approval status: none known.",,,0.65,0.15,0.2750464503014966,"TIER 2 · credible target, no drug yet",9
0,MTC,8,TRAPPC2L,ENSG00000167515.10,protein_coding,0.2344296422646072,0.4612169353980579,0.119157066782208,1.1616467628228564,0.4698213597257694,0.691825403097087,1.411565917321188,7.762017969075394e-08,6.19469204614147e-07,0.36027664,0.24523221,0.1150444299999999,0.3584905660377358,0.1746688741721854,0.3099927,A · selective + heterogeneous,False,Conserved TRAPP-complex-interacting protein involved in ER-to-Golgi and intra-Golgi vesicle tethering; biallelic loss-of-function variants cause a neurodevelopmental disorder with episodic rhabdomyolysis.,none found,none found. A membrane-trafficking/tethering factor; no direct mitochondrial or OXPHOS function established.,None known. Approval status: none known.,none found. No functional cancer study located for TRAPPC2L specifically.,NOVEL,https://pubmed.ncbi.nlm.nih.gov/19416478/ | https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC2L,NONE KNOWN,None known. Approval status: none known.,,,0.35,0.15,0.2417936702240593,"TIER 3 · hypothesis, little literature",10
