gene,dep_mean_GBM,dep_mean_nonCNS,frac_all_lines_dependent,pan_essential
C19orf53,0.8397601,0.7139395,0.7764900662251656,True
IFITM3,0.9257203,0.9223651,0.9587155963302753,True
MOB4,0.6524775,0.57317334,0.6225165562913907,False
NSF,0.99920416,0.9991136,1.0,True
PCBP2,0.94032747,0.9779225,0.9933774834437086,True
POLR2F,0.998126,0.99581295,0.9975165562913908,True
POLR2L,0.99978954,0.999749,1.0,True
PPA1,0.92663854,0.8741062,0.9089403973509934,True
RPL28,0.8852843,0.84102553,0.902317880794702,True
RPLP1,0.9721003,0.98787683,0.9991721854304636,True
