sample_id,cluster_k2,frac_nonpolyA,frac_histone,frac_mito
0257f378-cf6a-42f2-9cb1-0d10b4ca1b9a,1,0.5735068,0.019568082,0.005186709
026ed595-4218-4379-8e2d-54b390cb2544,1,0.3008615,0.024177128,0.0273003
034c42f2-fee6-4196-9c02-24589ce01071,1,0.45853722,0.006366329,0.009798924
03ddea6f-d377-4e2a-a59d-91d5c5b6e4ed,0,0.0032267028,0.0015317204,0.14150333
04b6d829-b031-4d9b-99cd-7f9007227edd,1,0.79267985,0.0027333968,0.0029053816
051dc36f-47e2-4d77-b9b9-c5f2d315f5f3,0,0.0025053283,0.0011189986,0.053146802
05d2774d-cb3e-4485-9825-c04d4ca44bb6,1,0.6615568,0.018184938,0.003916501
0601cab0-163f-48e4-bc9f-87b068d8b591,1,0.43859094,0.023213604,0.011151556
0669db2c-5724-4d83-aac7-483708e470c1,1,0.54529375,0.008725251,0.009078665
075029c6-31b2-4b4a-9945-b905fc6bf730,0,0.002194697,0.00071627396,0.2294711
0819aec9-9ebc-4446-9174-08d564d32fcd,1,0.667949,0.009451102,0.004846163
08633296-acaa-4c6f-a2f1-29e58898a303,1,0.36196038,0.019325007,0.009867323
09713ee2-9731-433f-8748-1b10b53d6a9a,1,0.40016714,0.0037584691,0.022399139
09cda3f9-fd03-416c-9ad7-8e27cdb7bd10,1,0.7084413,0.016554683,0.007983244
0a80d60d-df15-4474-92f9-97f5be07e180,0,0.0038477788,0.00052813895,0.13605261
0ad4aa09-9a11-464b-a080-cc9fad5da4ca,0,0.0028246706,0.0005254547,0.19534005
0af61bc8-3dd4-458b-940d-b251e11c422e,1,0.51193213,0.0045910887,0.012622432
0b53e868-b960-466d-b435-f41a9a8ef34b,1,0.7667813,0.021459641,0.0038150672
0b57370b-485f-47e1-b827-90fac22e61e0,1,0.47558343,0.011150189,0.015312552
0c6b79d0-47aa-4c14-8ec5-bdbfe0faa29d,0,0.0028586935,0.0009598546,0.19443442
0ce1eb02-a90c-484a-b861-c359562d3be1,0,0.0034680616,0.00078852405,0.2108117
0d3fac43-2d9d-4904-9650-40fd7af2942b,0,0.002815167,0.0005860059,0.2304497
0db34205-31a0-49e3-972d-ec4e4f7c03c5,0,0.0036083565,0.00043435008,0.31729788
0de1e059-6f06-44a0-abd3-c42cf2326898,1,0.36329597,0.0254585,0.009958106
0de2c4aa-0a01-49af-bc43-027f6321eb15,1,0.6714519,0.009136841,0.0045228386
0f89ce0f-1176-4c48-af82-4917ccc8f919,0,0.0027291179,0.00058193936,0.16266559
1076483a-e462-47e5-a47a-ca9544548dff,0,0.002954032,0.00088347413,0.1763666
113df549-f143-4c50-8e18-7c2159bda4eb,0,0.0038660115,0.0011338664,0.24222709
116233db-c003-4224-9359-17f290bf1eea,1,0.51328695,0.02964678,0.005914195
139fe07b-05fb-4bc5-b6e2-179269e7ca51,0,0.0028879605,0.00084259186,0.20315427
13da7123-db39-4bab-9521-daef5d3030ae,0,0.0017172823,0.00083559577,0.11340756
141d1d6b-251b-48cf-abfd-bdbfdd0605b7,1,0.56735957,0.025722768,0.007821343
1435785d-a1c3-4f05-a369-74a2134d5986,0,0.0024766272,0.00059335754,0.2966952
1483c347-bb2c-4678-af16-163e4fc1791d,0,0.0027243283,0.0010056741,0.23141296
15470aa1-dc19-4270-a09d-4341c7f174bb,1,0.3720547,0.015432623,0.011571599
155b64a3-9f0a-4f56-970b-d389caea4af3,1,0.71179986,0.015833639,0.0064032264
1652c5be-f06b-4600-a1e9-3efbfa73eb4e,1,0.3482602,0.011342179,0.026991751
16bcbeb8-21dc-4cfe-9aa1-60b093f7f984,1,0.81318736,0.013512478,0.002014847
17eedf5a-cad4-460d-bf28-9539ed131e5a,1,0.42951608,0.020859214,0.010107266
1871e575-a4a5-45c7-9b01-3c207e9c0465,0,0.0028856657,0.0009059478,0.17372356
19f6db33-bd74-44aa-9f00-c31903e88abf,0,0.003311245,0.0009322891,0.25888738
1a61593f-909e-46f4-8cfa-9e23bc050033,0,0.0016108257,0.0005560927,0.036775712
1ccc2b22-7f6c-4973-a6fa-f2c4d6be6dba,1,0.48167658,0.003572785,0.036826733
1ceaa856-24da-428c-ae0a-c8c5ec039853,1,0.4650595,0.0071718683,0.017761217
1edd3f30-2fe9-47a5-8f79-c75b29ec0b3c,1,0.4743928,0.0060857497,0.014978631
1f027bee-5316-4d9f-a566-41890da18493,0,0.0020504482,0.00079900015,0.059587907
209797f2-6e12-4f02-bea7-fd559305fad4,0,0.0022419097,0.0006016691,0.18137476
20e52266-0d53-42ad-afe7-215217854dc3,1,0.7983466,0.015025473,0.0017107968
210daf0d-280e-4c43-a48b-65e5c2a92a77,0,0.0032858471,0.001126605,0.15142058
213d3ace-8e69-44d1-9d14-21885213a765,1,0.6096234,0.014255018,0.0051793344
229e6793-e11e-46c8-9307-1847243a311c,1,0.61325973,0.019822203,0.003510712
22e5949e-2b59-4f74-9c48-ee1cc43032c4,1,0.3989667,0.009275185,0.0081192395
23f3b0c8-dc66-445e-9d05-bd631e00f2ee,0,0.005648172,0.0011453823,0.30121964
24178d00-81ec-4873-a319-0a329f3e71f2,1,0.49464232,0.0052954056,0.010502523
2426bdbe-9a09-4ea1-b5eb-1ecb2c492898,1,0.7031679,0.015216088,0.0033299013
24397ba5-84a8-46da-a55d-5764690dc17c,0,0.0049100663,0.0027510433,0.2104192
2463aaf7-9673-4bf2-9e8e-41d01e2379a1,1,0.4151124,0.0056576543,0.011965031
251de1f4-0bc3-4b44-af08-1abc9c720f67,0,0.0026663719,0.0013098565,0.062727354
25cdac9f-c440-46aa-9a4d-7298189f49b5,1,0.7107753,0.012994491,0.004742683
27388014-4a95-4b65-b488-79be5bf9f5b0,1,0.69757336,0.01628705,0.0065221977
28016f07-a161-43bc-954d-d5ad756bb40b,1,0.6699797,0.01669935,0.005353303
2b11021d-d0c9-44fb-b047-0c40a4707dc6,1,0.47718677,0.009832858,0.01175834
2be90092-0bf2-493c-8864-b9bd3efa2fcc,1,0.7675194,0.005498999,0.0041829455
2c3f2491-4d3b-41da-9866-94644fc8d102,1,0.5009883,0.045961104,0.009177952
2d2d4fdc-063c-4078-9eb9-758384cbeb22,1,0.41007125,0.015412193,0.009271934
2d9df1f6-8588-41a5-ac9c-e4034726b796,1,0.70110554,0.008638899,0.004477328
2e33127c-779d-4f05-bbae-7893b9d27364,0,0.0051797573,0.0015335997,0.2245419
3161d1dc-d31c-42ea-b6e4-a92dfac232d5,1,0.5176091,0.0040684245,0.010649258
31872322-b3b2-48fd-b86d-ad15525f6fec,1,0.5476806,0.012074629,0.005381289
32291119-ef4e-4041-9949-dc88dfce459a,0,0.0037351581,0.0019643586,0.10232103
328b149f-1c8d-4350-8ed8-a666bdc6a3f9,0,0.0019652112,0.00072951557,0.08686695
32d1cf3b-2920-479e-8025-aaacae8f8011,1,0.56886744,0.011415603,0.0072947163
32ee07e4-bec3-4d00-b603-60933581046c,1,0.407684,0.0054093627,0.008420715
336b678c-b044-4b16-aa80-82c9ab769326,0,0.0033888733,0.0010375206,0.10917724
338baec6-c9fe-4691-9c2a-bc96799f8dee,0,0.0032198387,0.0010399624,0.26659867
33ce2e6b-71eb-459d-9b05-9495a21be871,1,0.7043511,0.0057612173,0.0053050406
36b191bd-843f-45e6-9ff2-d99f649c5d0f,1,0.5238116,0.005797666,0.007236636
36fa95b5-2cf1-4033-91ee-832547ff52fd,1,0.4769576,0.026279595,0.007627435
37253fe8-4a9a-4076-9244-8cc727d6b432,0,0.0034223492,0.00087118975,0.12943432
37bae717-22b7-4a28-8768-ab83c62ad8ee,0,0.0020634835,0.00062497,0.11702694
388193e4-004b-44b4-9eac-267eab7a9412,1,0.4704371,0.044844218,0.007732601
39bc453b-67d2-4059-bbaf-fa98dc9d2595,1,0.6024666,0.010612001,0.00388575
39c60ad1-540a-4ad9-a735-b83f5d1c51f1,0,0.0025077336,0.00051778584,0.19460835
39f7b501-0578-4c4e-9fc4-fd9a7d839dbf,0,0.0038189185,0.0010761507,0.18938567
3b6125da-8c27-4889-a5d1-4bdc697f2a72,1,0.59271985,0.01595881,0.006150126
3b771109-4c7d-4963-9d89-4ea431c8ad57,1,0.34939644,0.015657675,0.011560485
3d122d0e-749d-4388-a74a-a2266792e5de,1,0.47447437,0.005845213,0.011899071
3dd357c6-9e04-4f73-ae88-18143988e383,0,0.0029865091,0.0010970457,0.2347115
3e80fb1c-1d29-45c9-9e02-995c33c70b9c,1,0.5987687,0.0043004937,0.009599631
404948ed-abef-4949-8375-64908c0d52c0,0,0.0026527212,0.00064322713,0.23032168
4182c637-8f3b-4e58-8ea9-e8c9859bfbd3,1,0.58574885,0.011561622,0.0043113227
41bdf255-88ed-4346-9033-7813b2c97d84,0,0.002341001,0.0009909266,0.10117514
43a6d88e-5e41-4ecb-bbf5-2c0744c1c3a9,1,0.6660134,0.034170292,0.0018731797
44aa45ef-4bcd-47eb-a2ef-68b614d00a51,0,0.002620785,0.0011902204,0.19136229
45ab4192-f1bb-46cd-8e85-c2341d67642f,0,0.003229262,0.0005780001,0.09135548
45b03af8-f396-4c1b-809a-5e2aa7ce0769,1,0.59835523,0.031274233,0.0121900225
45c55fc2-e9d6-4016-9350-95d2bba56dee,0,0.0057990565,0.0006821155,0.18024549
46c4e8cb-5a79-49d1-8cd1-70e7288718ef,1,0.65107775,0.010289725,0.0068285316
4852a0bd-7339-45c7-abab-2b17b4792106,1,0.67858213,0.013790321,0.00902181
4906506c-0236-4a3f-93b0-300384bd324d,1,0.77869153,0.006383865,0.0025977085
4a173140-8ec3-4f61-9cc4-86470fb75b8a,0,0.004560774,0.0017368188,0.16015697
4a44bd40-1141-4524-a35f-f29ee37f6c63,0,0.0029282016,0.00067175034,0.18764365
4a91d152-b46f-4721-a868-7ed491f9af56,0,0.003266831,0.0014041497,0.1847775
4ac05a26-e45b-4936-99fa-e031cd5b212c,0,0.011060664,0.0012052597,0.11290574
4d3bdf9e-0c8b-4f1a-afdf-8a1c36114653,1,0.5206914,0.0141717475,0.00671679
4d88e95f-b1fe-4dd6-b602-3db0197b693c,1,0.58340037,0.010950134,0.007185611
4ead1157-bb18-4e7c-9632-b13d869c5365,0,0.002232444,0.00035375706,0.38268358
4ebf51c8-f12e-4c83-9bba-414e5ba20e7c,1,0.63891786,0.012315738,0.0044872654
4ef577ef-0834-48d7-918d-c2b5df7efaf4,0,0.0024730621,0.00056961295,0.11051052
4f0a0b90-41cb-4ea7-97e0-5f771dc22fb2,1,0.6538512,0.03165202,0.003925024
4fa49452-cb75-46c0-a633-42b3f7c4361b,0,0.002880969,0.00071863004,0.1068071
502882eb-8819-4015-8483-ab720e2a25bf,1,0.23920153,0.016525578,0.009579705
511393a1-da49-4cf1-80d6-7f50a6c3043d,0,0.0045546903,0.0011142727,0.12660615
51aea3a7-011d-4f8b-af00-fc7c169591d9,1,0.8139153,0.018571375,0.0027893197
51cf388b-effc-44bd-bd78-5b25878561a2,0,0.0028273473,0.0008337369,0.06587635
520c0e78-f0a3-4e46-8c8e-00cf654e100d,1,0.5961959,0.02179241,0.0058035054
5237a678-9f82-4aa3-a874-39179cff6ba5,0,0.003883051,0.0014897622,0.09904116
54c6eff1-866a-4b26-9778-6b085fc25123,0,0.003045693,0.00074132875,0.10029862
54f5fb74-d1b8-4ad8-a1d3-2949ef36653f,1,0.39171654,0.02745686,0.025445445
55205481-335e-44c1-885a-fa5a33bd7edf,1,0.7314295,0.016658854,0.009540769
55e09827-cf4f-4286-84cc-2b2da280266e,1,0.8266289,0.004090597,0.0023877562
5862a2c8-9700-4bfd-8247-176efebc3efb,0,0.0033149817,0.00048630885,0.30049083
58d714ce-bdb7-4365-b3f9-a5464237b1d4,0,0.0019161616,0.00081711076,0.09496051
5990f089-fa26-4ba3-997c-61ff9c7d3dbb,0,0.0021471742,0.00075763115,0.16908279
59f436d5-7a66-40a8-9bca-b1e354452492,1,0.6485992,0.008582813,0.0026275665
5a2fb8ba-a509-4216-83b5-174c1ee94c17,0,0.0036656046,0.00071143947,0.04583195
5a469815-4a88-4a5e-8df5-1e71579577e7,1,0.47732988,0.0155571075,0.0031856955
5b1cc683-d363-4cb8-b9b2-050c3c541858,0,0.017139893,0.0013651015,0.18783635
5b48d67b-b6c5-41aa-a8f2-9a73c45ede88,1,0.32347804,0.020833611,0.010452064
5b56daff-2531-46b1-a277-86b88b878c61,0,0.0037936564,0.001414001,0.096450925
5cafc8c0-a92c-407a-ad52-a2d9562c0bfa,0,0.003345314,0.00063175184,0.14263286
5d55672c-be4d-4777-aec8-d6798a272723,1,0.34072194,0.018937508,0.014618032
5d732c32-681d-46ca-b0bd-404ab47c64db,0,0.002191191,0.0009035767,0.09097696
5eb967ae-6a4a-4109-948c-36f00dc471fe,1,0.7142339,0.0043549617,0.003085914
5ef77dbc-2112-4ab3-a669-b0f9b175f01c,0,0.003474968,0.001349265,0.115956865
6394059f-8ec8-4fe7-80bc-3650c76b4499,0,0.0027955715,0.0011875856,0.20459352
63af1588-387b-44a7-97ed-4f73559347c2,0,0.0022047618,0.0006951612,0.14358638
64c28835-3395-4328-887f-b2bf042c3d9a,0,0.002348402,0.0008272313,0.15083154
64d208b9-6a15-4077-885f-30d9cdedf147,0,0.0030320638,0.0021358335,0.13384806
64e37a02-7b4c-430c-9088-2d1c7c89a508,0,0.0069065616,0.0007989768,0.19789916
6571f6d5-963a-4ff7-9174-2b4d61c11069,1,0.25835118,0.005634881,0.01461009
671d7eb7-92fc-4318-be85-e48f7d868225,1,0.6232678,0.018478733,0.005010284
6824df5a-832c-4a45-b654-05ba9ac03369,0,0.0025053602,0.00088695576,0.10953996
69804564-72f3-443e-a45e-add43d917b2c,0,0.003659712,0.0012395155,0.05418322
69faa26c-4763-411b-affb-5eee559b70e1,0,0.0026745845,0.0008038127,0.19247183
6a87346a-157b-467c-be80-572ab377080c,1,0.44290176,0.008004062,0.016158491
6afd066b-806e-4568-94d9-ac189d1101af,0,0.0027631286,0.0012371194,0.1329304
6b59c7e7-11f7-4326-a849-2e1a6bb9f3e7,0,0.0024102943,0.001434311,0.03547182
6ce1df69-82de-4672-bdbc-0dc415983095,1,0.41659266,0.021063294,0.013721634
6efd1a34-3261-4ad3-87cc-da685ba06d2b,1,0.5171925,0.006392268,0.019406665
7127a123-4f5b-4fab-b1fe-deeb790fedd3,1,0.66078264,0.008444806,0.0041473545
71390b5a-ecd0-475f-8582-8bfb47bb844c,0,0.0014517638,0.0005573332,0.043536667
7164752e-f3af-4ff9-aa7b-a96dc10f58ab,0,0.004928529,0.0014267158,0.08924988
71d11e4c-6fe8-47ba-91a5-6566158614fa,1,0.5724811,0.02450805,0.0039101555
73083339-9672-4072-aa87-0c94240f478a,1,0.67410564,0.004223514,0.008065538
7412a444-9fad-4d96-a4d4-2c270045919a,0,0.0018907036,0.0005060394,0.2733632
748dc14a-ff43-4b5d-b197-b7c021955fed,1,0.28963858,0.028632687,0.013888961
75615deb-e120-44f6-a585-1ca07987b7ef,0,0.0033723128,0.0009594417,0.055088494
764dcbc1-1611-486e-bf1d-8a43ede692f7,1,0.7382563,0.006747806,0.004346041
77405f24-ebc0-45be-9beb-ac81ed1936d5,1,0.75598866,0.010190478,0.0037898906
7753deb5-3885-44ca-be8b-8ff6ab9d7e30,1,0.5880803,0.011244497,0.0057928357
7775f83b-5a91-4ced-83dd-c6c419c110ab,1,0.44159463,0.009986675,0.010054109
78484ab5-e8f8-4029-b5b2-63629a949e2f,0,0.002969426,0.0008510044,0.0666627
79431769-1471-4ae8-b324-3f02d1a25507,1,0.50312793,0.0152889695,0.005302206
7953f14d-563a-4c41-882e-cce3821547a3,0,0.002256094,0.0010235715,0.10535037
79b783ac-103f-47a6-bc4b-8498a0be46ac,0,0.0022824227,0.0012303396,0.083246775
7a13e0f8-ed80-4fc5-985a-f40a6585d416,1,0.717007,0.0031829334,0.0051213363
7a25193c-a87d-4929-b724-3d89553fa028,0,0.004033624,0.0010384306,0.18258722
7a4908be-65e5-4008-8eec-becdc9903c74,1,0.57073367,0.017171713,0.008704533
7a5f6106-e991-4fdb-ae52-61099bd8c3b9,1,0.3416597,0.017051397,0.01343074
7aaf54b8-2be8-4b92-91c9-cfc21671dc60,0,0.0043558716,0.0010962493,0.33349872
7b980b35-f9d6-4d92-bd0d-cf152156a2d8,1,0.5087704,0.00728616,0.0069638127
7d1ba30d-6d00-479f-8ae9-f818c56ba9c5,0,0.002809789,0.00081012177,0.16872947
7f316dbf-94f8-467e-89fc-ae78a91348b5,1,0.7129611,0.0030396222,0.00816925
80e02a48-6bbd-4e69-87f3-a27e51ca852b,0,0.0026533215,0.0009978352,0.14298835
80f616bc-e28d-43b2-b3cb-606962c0d22b,1,0.55897963,0.012310809,0.00377399
81dcfef2-2a70-4868-bc63-4aeaf924aa7b,1,0.5951975,0.013455061,0.0070744385
829e7c71-bbc4-463e-bff7-70bec0074e51,1,0.5431349,0.019335773,0.0074976585
8480f10c-26ec-42d1-8754-ff8cb744978e,1,0.229904,0.0052655507,0.012013955
84ec66a6-0ea7-4a37-ad5f-f41f5cad1ecc,1,0.37388867,0.009431965,0.023414819
86aad7af-3cf5-4941-9ef5-78aafdb57cc3,1,0.7180234,0.041317847,0.002445779
87ee4cad-86d3-4b6b-952d-d565247b9a1e,1,0.46563676,0.019778522,0.0049778456
887aaafb-3913-4418-9991-1c48d4ab7629,1,0.60331887,0.01361123,0.0063810204
88c49e2a-ad65-411f-b9d9-df83de6f2b2a,0,0.0038906957,0.0008363779,0.17601778
89154592-5e65-4616-bbfc-3cf8999363db,1,0.5259309,0.0044274013,0.009688427
8a3c7c61-631f-4dd0-83fe-d2bbb33a17a4,0,0.004143257,0.0010086538,0.21219146
8a3d5786-f5fe-4c3b-9a58-23a3a0bfa6d4,1,0.51067394,0.014442632,0.012815745
8acdddb4-3f0d-4b61-8fdd-c187263b3216,1,0.4343421,0.034069672,0.016161395
8c349685-4023-49dd-b32f-0b97f07a38a5,1,0.5307788,0.015350387,0.0060536754
8ce23744-e0bc-459b-8b6d-8bac6c4ef6d5,1,0.55121934,0.0049440484,0.014139372
917fa61d-4556-42a0-bc3a-449ef1b29886,1,0.86522084,0.009638119,0.0035419848
91bd0932-0312-404f-b836-c1ab7f9e2cf3,0,0.0032971893,0.0016119425,0.1890552
92dec9cc-fcd9-4cfc-9bc2-84372e772a5d,0,0.0017506273,0.00080898794,0.14769262
9336dd74-2f3f-4c1f-bebf-e4aae364f784,1,0.72332776,0.011332152,0.002420341
936f451e-b761-47f8-9d3d-db4cdb1ec27b,0,0.0037758239,0.0012875423,0.18210447
93803595-0b8a-4d0b-9439-e1d7d1eb6fd4,1,0.7336532,0.014615117,0.012651149
954911a5-d0a0-42bb-842c-1dbd9ee60c6c,0,0.037810627,0.0015602893,0.14678863
967e6f4b-8c6b-4498-87c2-330b2c174061,1,0.67377365,0.012846941,0.0077362317
979a75fb-49bd-48e4-b7b1-1391a67726cb,0,0.006700332,0.0026605565,0.21641544
97f42a19-6ae6-4cd5-b4f5-4777c44324e8,1,0.36391956,0.017664999,0.019552972
9858ebaa-c001-462d-a0d2-7d302f4aaba1,1,0.4556661,0.0062321657,0.01262705
9aa2f274-51ab-4e29-b555-407bf3ef21fd,1,0.31828308,0.006848338,0.011558822
9b1f39e2-a587-4fde-afd2-e0808a7766c1,0,0.0020041568,0.00054594554,0.3228501
9c6e0acf-3b58-4c3f-99f1-460b0aa68693,1,0.50553596,0.018428998,0.0034209008
9c71c75f-8b3c-487e-beb8-d372875b2b2d,1,0.50456375,0.00904505,0.0104309255
9cee9b1d-e8ee-4f8e-be85-c96dac6138b3,1,0.600963,0.0052143573,0.004400857
