gene,gene_type,log2FC_g0_minus_g1,t,p,abs_t
RN7SKP9,misc_RNA,-8.56332,-111.51637,0.0,111.51637
RN7SKP255,misc_RNA,-9.955784,-108.867714,0.0,108.867714
RN7SKP71,misc_RNA,-9.674302,-105.152374,0.0,105.152374
RN7SKP79,misc_RNA,-7.0999665,-101.8964,0.0,101.8964
RN7SKP230,misc_RNA,-6.9891143,-101.37495,0.0,101.37495
7SK,misc_RNA,-9.01922,-101.0058,0.0,101.0058
RN7SKP80,misc_RNA,-9.650401,-95.5952,0.0,95.5952
RN7SKP291,misc_RNA,-6.746692,-92.56373,0.0,92.56373
RN7SKP48,misc_RNA,-7.264989,-90.55368,0.0,90.55368
SCARNA7,scaRNA,-8.649388,-83.189964,0.0,83.189964
RN7SKP217,misc_RNA,-4.551291,-82.522026,0.0,82.522026
H4C2,protein_coding,-7.624719,-81.147934,0.0,81.147934
RN7SKP185,misc_RNA,-6.018119,-80.91586,0.0,80.91586
H1-4,protein_coding,-8.16094,-79.916595,0.0,79.916595
RN7SL648P,misc_RNA,-5.707107,-78.292305,0.0,78.292305
RN7SKP180,misc_RNA,-6.4270763,-78.21482,0.0,78.21482
SCARNA21,scaRNA,-8.454056,-77.94472,0.0,77.94472
RN7SL1,misc_RNA,-9.479226,-74.63392,0.0,74.63392
SCARNA6,scaRNA,-8.201023,-74.39744,0.0,74.39744
H2AC21,protein_coding,-6.336121,-73.615,0.0,73.615
H4C3,protein_coding,-8.300122,-73.17302,0.0,73.17302
RN7SL5P,misc_RNA,-9.003828,-73.087814,0.0,73.087814
RN7SL230P,misc_RNA,-5.8973465,-72.34323,0.0,72.34323
RN7SKP163,misc_RNA,-4.152112,-72.27348,0.0,72.27348
SNORA12,snoRNA,-6.9025216,-72.24266,0.0,72.24266
RN7SL674P,misc_RNA,-8.187082,-71.66266,0.0,71.66266
SNORA54,snoRNA,-7.1194415,-71.56208,0.0,71.56208
RN7SL4P,misc_RNA,-9.394429,-70.87014,0.0,70.87014
