variant,gene_set,n_pcs,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,batch_ARI,BioValidity_ARI,BioValidity_NMI,min_cluster_size,size_balance,cluster_sizes
V1,MAD_1000_PC,5,KMeans,3,0.439,611.8,1.0235,0.6756,0.026,0.0373,93,0.66,"93,141,94"
V1,MAD_1000_PC,5,KMeans,4,0.2992,496.2,1.2508,0.5005,0.0592,0.0739,56,0.596,"56,94,85,93"
V1,MAD_1000_PC,5,KMeans,5,0.2646,433.3,1.3336,0.3938,0.0868,0.1253,56,0.659,"56,63,85,63,61"
V1,MAD_1000_PC,5,KMeans,6,0.2433,382.7,1.3277,0.3279,0.1134,0.1678,38,0.603,"52,62,63,38,51,62"
V1,MAD_1000_PC,5,KMeans,7,0.2391,352.5,1.3351,0.2925,0.1165,0.1858,20,0.345,"58,38,52,57,51,52,20"
V1,MAD_1000_PC,5,Ward,3,0.4294,592.7,1.0412,0.6869,0.0292,0.0426,76,0.539,"141,111,76"
V1,MAD_1000_PC,5,Ward,4,0.2728,465.1,1.271,0.5338,0.0712,0.1081,42,0.378,"111,99,76,42"
V1,MAD_1000_PC,5,Ward,5,0.2372,388.4,1.3303,0.4752,0.0647,0.1052,17,0.172,"76,99,94,42,17"
V1,MAD_1000_PC,5,Ward,6,0.2165,342.1,1.2723,0.4268,0.0883,0.1549,17,0.172,"94,99,49,42,17,27"
V1,MAD_1000_PC,5,Ward,7,0.2168,311.4,1.3895,0.3522,0.1034,0.1637,17,0.172,"99,60,49,42,17,27,34"
V1,MAD_1000_PC,5,GMM,3,0.419,474.2,1.1304,0.8293,0.0352,0.0791,51,0.273,"51,187,90"
V1,MAD_1000_PC,5,GMM,4,0.2516,443.6,1.3428,0.5366,0.0393,0.0819,51,0.418,"51,65,122,90"
V1,MAD_1000_PC,5,GMM,5,0.2179,339.4,1.3109,0.5269,0.0413,0.1095,14,0.105,"14,54,78,133,49"
V1,MAD_1000_PC,5,GMM,6,0.2013,323.2,1.8169,0.3589,0.0765,0.1466,30,0.333,"51,30,90,65,51,41"
V1,MAD_1000_PC,5,GMM,7,0.1873,293.8,1.8024,0.3247,0.084,0.1666,14,0.177,"62,14,29,58,79,48,38"
V1,MAD_1000_PC,5,Spectral,3,0.4391,609.1,1.0198,0.6783,0.0204,0.0316,85,0.603,"102,85,141"
V1,MAD_1000_PC,5,Spectral,4,0.285,488.3,1.2819,0.4959,0.0422,0.0508,67,0.657,"74,85,102,67"
V1,MAD_1000_PC,5,Spectral,5,0.2429,410.5,1.3226,0.4063,0.1142,0.1353,36,0.45,"71,74,80,67,36"
V1,MAD_1000_PC,5,Spectral,6,0.2258,359.8,1.3025,0.3455,0.1427,0.1873,36,0.45,"47,80,36,49,71,45"
V1,MAD_1000_PC,5,Spectral,7,0.2398,323.5,1.2174,0.3211,0.1554,0.2226,23,0.287,"23,71,31,80,47,40,36"
V1,MAD_1000_PC,8,KMeans,3,0.3939,474.3,1.1723,0.6756,0.0179,0.0287,93,0.66,"141,94,93"
V1,MAD_1000_PC,8,KMeans,4,0.2586,373.6,1.4218,0.5148,0.044,0.0617,46,0.484,"46,94,93,95"
V1,MAD_1000_PC,8,KMeans,5,0.2216,314.8,1.5421,0.4083,0.0755,0.1148,46,0.484,"65,95,62,46,60"
V1,MAD_1000_PC,8,KMeans,6,0.1933,271.5,1.6012,0.3301,0.1068,0.1651,39,0.557,"51,70,53,39,64,51"
V1,MAD_1000_PC,8,KMeans,7,0.1842,245.3,1.6555,0.281,0.1278,0.207,36,0.6,"60,46,49,56,42,39,36"
V1,MAD_1000_PC,8,Ward,3,0.3827,460.6,1.2088,0.6883,0.0449,0.0619,75,0.532,"141,112,75"
V1,MAD_1000_PC,8,Ward,4,0.2383,353.5,1.4553,0.5466,0.0759,0.1111,37,0.33,"112,104,75,37"
V1,MAD_1000_PC,8,Ward,5,0.1904,295.7,1.6579,0.4316,0.0731,0.1211,37,0.356,"104,55,75,37,57"
V1,MAD_1000_PC,8,Ward,6,0.1768,252.9,1.6287,0.3702,0.0882,0.1505,20,0.238,"84,55,75,37,57,20"
V1,MAD_1000_PC,8,Ward,7,0.1611,224.2,1.6156,0.311,0.0969,0.1796,20,0.267,"55,57,75,37,54,20,30"
V1,MAD_1000_PC,8,GMM,3,0.3428,408.1,1.5355,0.6912,0.0801,0.1132,73,0.518,"114,141,73"
V1,MAD_1000_PC,8,GMM,4,0.1726,296.2,1.8516,0.5794,0.1146,0.1476,28,0.239,"70,113,117,28"
V1,MAD_1000_PC,8,GMM,5,0.1567,257.1,1.8813,0.4587,0.0934,0.1476,28,0.248,"28,59,51,77,113"
V1,MAD_1000_PC,8,GMM,6,0.1456,219.1,1.9852,0.408,0.088,0.1394,27,0.237,"114,38,61,48,27,40"
V1,MAD_1000_PC,8,GMM,7,0.1519,201.5,1.9058,0.3693,0.0733,0.149,28,0.248,"37,113,42,28,28,42,38"
V1,MAD_1000_PC,8,Spectral,3,0.3933,473.4,1.1749,0.6757,0.0235,0.0346,92,0.652,"141,95,92"
V1,MAD_1000_PC,8,Spectral,4,0.2536,371.3,1.4285,0.5149,0.0587,0.0814,46,0.484,"95,92,95,46"
V1,MAD_1000_PC,8,Spectral,5,0.2302,296.9,1.563,0.4376,0.1006,0.1674,40,0.421,"40,95,92,40,61"
V1,MAD_1000_PC,8,Spectral,6,0.1933,261.3,1.6247,0.3442,0.1649,0.2289,40,0.488,"40,82,61,40,44,61"
V1,MAD_1000_PC,8,Spectral,7,0.1766,236.5,1.6062,0.3122,0.1329,0.2534,26,0.313,"61,83,40,40,26,36,42"
V1,MAD_1000_PC,10,KMeans,3,0.3776,431.8,1.2272,0.6756,0.0179,0.0287,93,0.66,"141,93,94"
V1,MAD_1000_PC,10,KMeans,4,0.2412,336.7,1.4979,0.5131,0.0461,0.0642,47,0.5,"47,94,93,94"
V1,MAD_1000_PC,10,KMeans,5,0.2046,280.9,1.6321,0.4067,0.0777,0.117,47,0.5,"47,61,94,60,66"
V1,MAD_1000_PC,10,KMeans,6,0.1948,241.4,1.6964,0.3539,0.1035,0.1743,35,0.38,"48,92,35,49,48,56"
V1,MAD_1000_PC,10,KMeans,7,0.1686,216.6,1.7349,0.2812,0.1255,0.2065,34,0.586,"34,54,58,47,36,48,51"
V1,MAD_1000_PC,10,Ward,3,0.3556,394.1,1.2695,0.7455,0.0035,0.0297,50,0.355,"137,141,50"
V1,MAD_1000_PC,10,Ward,4,0.3068,300.2,1.5111,0.609,0.023,0.0785,37,0.262,"141,100,50,37"
V1,MAD_1000_PC,10,Ward,5,0.1782,258.3,1.6458,0.4781,0.0479,0.1183,33,0.306,"100,108,50,37,33"
V1,MAD_1000_PC,10,Ward,6,0.1742,220.8,1.8351,0.3869,0.0586,0.1228,33,0.306,"108,53,50,37,33,47"
V1,MAD_1000_PC,10,Ward,7,0.1297,196.3,1.8647,0.2998,0.084,0.1651,31,0.403,"50,53,77,37,33,47,31"
V1,MAD_1000_PC,10,GMM,3,0.3276,366.4,1.6031,0.7248,0.099,0.1711,57,0.404,"57,141,130"
V1,MAD_1000_PC,10,GMM,4,0.1181,263.7,2.2677,0.5186,0.1421,0.1824,67,0.558,"71,67,120,70"
V1,MAD_1000_PC,10,GMM,5,0.1266,216.2,2.0343,0.4709,0.1743,0.2286,24,0.205,"24,70,48,117,69"
V1,MAD_1000_PC,10,GMM,6,0.1285,205.7,1.929,0.3441,0.1082,0.1648,36,0.424,"54,36,85,48,57,48"
V1,MAD_1000_PC,10,GMM,7,0.097,174.6,2.1273,0.3041,0.1181,0.1929,27,0.38,"45,44,33,69,39,71,27"
V1,MAD_1000_PC,10,Spectral,3,0.3769,430.4,1.2321,0.6761,0.0227,0.0336,90,0.638,"141,97,90"
V1,MAD_1000_PC,10,Spectral,4,0.2348,332.4,1.5005,0.521,0.0537,0.0761,43,0.439,"98,90,97,43"
V1,MAD_1000_PC,10,Spectral,5,0.2097,267.0,1.6254,0.4359,0.0901,0.1448,38,0.392,"57,90,38,97,46"
V1,MAD_1000_PC,10,Spectral,6,0.1733,233.6,1.705,0.3418,0.1696,0.2218,38,0.481,"57,79,66,42,38,46"
V1,MAD_1000_PC,10,Spectral,7,0.1651,208.9,1.6419,0.3079,0.139,0.2381,17,0.224,"44,76,46,57,38,50,17"
V1,MAD_1000_PC,15,KMeans,3,0.3532,380.4,1.3169,0.6756,0.0179,0.0287,93,0.66,"141,94,93"
V1,MAD_1000_PC,15,KMeans,4,0.2144,292.5,1.6335,0.5082,0.0533,0.073,50,0.532,"91,93,94,50"
V1,MAD_1000_PC,15,KMeans,5,0.1795,241.2,1.775,0.4036,0.0843,0.1256,49,0.533,"67,92,59,61,49"
