gene_set,n_genes,protein_coding_only,n_pcs,cum_explained_var,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,batch_ARI,min_cluster_size,max_cluster_size,size_balance,cluster_sizes
MAD_1000_PC,1000,True,10,0.5657,KMeans,2,0.1841,86.7,1.8516,-0.0017,134,194,0.691,"134,194"
MAD_1000_PC,1000,True,10,0.5657,KMeans,3,0.1608,71.2,1.9223,-0.0037,93,129,0.721,"93,129,106"
MAD_1000_PC,1000,True,10,0.5657,KMeans,4,0.1482,61.3,1.7917,-0.0002,63,119,0.529,"63,83,63,119"
MAD_1000_PC,1000,True,10,0.5657,KMeans,5,0.153,57.3,1.7661,0.0024,58,74,0.784,"74,73,64,59,58"
MAD_1000_PC,1000,True,10,0.5657,KMeans,6,0.1491,52.0,1.7684,-0.0023,43,68,0.632,"49,68,43,45,65,58"
MAD_1000_PC,1000,True,10,0.5657,KMeans,7,0.146,47.8,1.7677,0.0027,24,59,0.407,"32,55,53,58,47,24,59"
MAD_1000_PC,1000,True,10,0.5657,KMeans,8,0.1457,44.8,1.7162,0.002,22,61,0.361,"35,32,61,47,36,52,43,22"
MAD_1000_PC,1000,True,10,0.5657,Ward,2,0.1461,60.8,2.1297,-0.0039,115,213,0.54,"213,115"
MAD_1000_PC,1000,True,10,0.5657,Ward,3,0.1333,56.6,2.0012,-0.0005,52,161,0.323,"115,161,52"
MAD_1000_PC,1000,True,10,0.5657,Ward,4,0.1277,51.6,1.8303,-0.005,52,161,0.323,"161,57,52,58"
MAD_1000_PC,1000,True,10,0.5657,Ward,5,0.1203,47.1,1.9958,-0.0018,41,120,0.342,"120,57,52,58,41"
MAD_1000_PC,1000,True,10,0.5657,Ward,6,0.1192,43.9,1.9893,0.0003,41,64,0.641,"57,41,52,58,56,64"
MAD_1000_PC,1000,True,10,0.5657,Ward,7,0.1169,41.0,1.8798,0.0011,15,64,0.234,"41,56,52,58,42,64,15"
MAD_1000_PC,1000,True,10,0.5657,Ward,8,0.1154,38.4,1.846,0.0016,15,64,0.234,"52,56,64,58,42,20,15,21"
MAD_1000_PC,1000,True,10,0.5657,GMM,2,0.1217,47.3,2.4729,-0.0009,126,202,0.624,"202,126"
MAD_1000_PC,1000,True,10,0.5657,GMM,3,0.0898,42.0,2.6205,-0.0047,56,171,0.327,"101,56,171"
MAD_1000_PC,1000,True,10,0.5657,GMM,4,0.0992,38.0,2.3481,-0.0048,44,174,0.253,"174,56,44,54"
MAD_1000_PC,1000,True,10,0.5657,GMM,5,0.0852,36.4,2.2612,-0.0042,31,111,0.279,"59,48,79,31,111"
MAD_1000_PC,1000,True,10,0.5657,GMM,6,0.07,34.0,2.4077,-0.0042,25,79,0.316,"45,60,65,79,25,54"
