gene_set,n_genes,protein_coding_only,n_pcs,cum_explained_var,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,min_cluster_size,max_cluster_size,size_balance,cluster_sizes
MAD_1000_PC,1000,True,10,0.7216,KMeans,2,0.4212,298.8,0.9872,142,186,0.763,"142,186"
MAD_1000_PC,1000,True,10,0.7216,KMeans,3,0.3042,203.6,1.4228,68,141,0.482,"119,141,68"
MAD_1000_PC,1000,True,10,0.7216,KMeans,4,0.2225,167.4,1.6377,68,119,0.571,"71,119,70,68"
MAD_1000_PC,1000,True,10,0.7216,KMeans,5,0.2042,147.4,1.6261,53,72,0.736,"72,71,53,62,70"
MAD_1000_PC,1000,True,10,0.7216,KMeans,6,0.1971,129.1,1.6288,34,71,0.479,"46,70,34,68,71,39"
MAD_1000_PC,1000,True,10,0.7216,KMeans,7,0.1761,117.0,1.6387,38,64,0.594,"41,38,45,42,64,39,59"
MAD_1000_PC,1000,True,10,0.7216,KMeans,8,0.1765,107.3,1.6675,32,65,0.492,"32,38,34,65,36,39,41,43"
MAD_1000_PC,1000,True,10,0.7216,Ward,2,0.4215,298.5,0.9861,141,187,0.754,"187,141"
MAD_1000_PC,1000,True,10,0.7216,Ward,3,0.295,190.8,1.3954,43,144,0.299,"141,144,43"
MAD_1000_PC,1000,True,10,0.7216,Ward,4,0.2053,155.1,1.631,43,144,0.299,"144,78,43,63"
MAD_1000_PC,1000,True,10,0.7216,Ward,5,0.1869,137.6,1.7364,43,87,0.494,"87,78,43,63,57"
MAD_1000_PC,1000,True,10,0.7216,Ward,6,0.1713,118.2,1.8067,21,78,0.269,"78,57,43,63,66,21"
MAD_1000_PC,1000,True,10,0.7216,Ward,7,0.1436,105.5,1.7927,21,66,0.318,"57,52,43,63,66,21,26"
MAD_1000_PC,1000,True,10,0.7216,Ward,8,0.1361,96.7,1.7239,21,66,0.318,"34,52,43,63,66,21,26,23"
MAD_1000_PC,1000,True,10,0.7216,GMM,2,0.4215,298.5,0.9861,141,187,0.754,"141,187"
MAD_1000_PC,1000,True,10,0.7216,GMM,3,0.2916,178.9,1.6012,41,146,0.281,"146,141,41"
MAD_1000_PC,1000,True,10,0.7216,GMM,4,0.1788,152.1,1.8435,61,110,0.555,"77,80,61,110"
MAD_1000_PC,1000,True,10,0.7216,GMM,5,0.1564,120.3,1.837,22,111,0.198,"22,111,79,76,40"
MAD_1000_PC,1000,True,10,0.7216,GMM,6,0.1694,110.9,1.7045,7,77,0.091,"76,33,77,62,7,73"
MAD_1000_PC,1000,True,10,0.7216,Spectral,2,0.4215,298.5,0.9861,141,187,0.754,"141,187"
MAD_1000_PC,1000,True,10,0.7216,Spectral,3,0.2988,202.3,1.4539,73,141,0.518,"141,73,114"
MAD_1000_PC,1000,True,10,0.7216,Spectral,4,0.2181,165.3,1.6512,55,114,0.482,"55,86,114,73"
MAD_1000_PC,1000,True,10,0.7216,Spectral,5,0.2064,143.2,1.5993,36,99,0.364,"55,99,86,36,52"
MAD_1000_PC,1000,True,10,0.7216,Spectral,6,0.1851,124.2,1.6642,33,99,0.333,"52,64,36,99,44,33"
