sample_id,cluster,consensus_membership,consensus_own,consensus_best_other,is_core,silhouette_sample,library_batch,verhaak_nearest,sig_Proneural,sig_Classical,sig_Mesenchymal,sig_Neural,pw_MTC_OXPHOS,pw_GPM_GLYCOLYSIS_LIPID,pw_PPR_PROLIFERATION,pw_NEU_NEURONAL,pw_OLIGODENDROCYTE_MYELIN,pw_IMMUNE_MYELOID,pw_HYPOXIA_ANGIOGENESIS
0257f378-cf6a-42f2-9cb1-0d10b4ca1b9a,0,0.2247,0.5432,0.3185,False,0.0397,totalRNA_rRNAdepleted,Proneural,0.2065,-0.4144,-0.0496,0.1955,0.576,0.2843,0.9045,0.2068,0.0186,0.0219,-0.0419
026ed595-4218-4379-8e2d-54b390cb2544,2,0.7797,0.8759,0.0963,True,0.0816,totalRNA_rRNAdepleted,Proneural,0.425,0.3574,-0.0396,0.0201,0.0906,0.3561,0.4994,-0.2174,0.5032,0.1752,0.161
034c42f2-fee6-4196-9c02-24589ce01071,3,0.8762,0.9237,0.0474,True,0.2542,totalRNA_rRNAdepleted,Mesenchymal,-0.9317,-0.2549,0.6845,-0.8651,0.1412,1.1911,0.1982,-0.7228,-1.2591,-0.3053,0.5892
03ddea6f-d377-4e2a-a59d-91d5c5b6e4ed,1,0.7945,0.8747,0.0802,True,0.2918,polyA_selected,Proneural,0.8573,-0.6074,-1.1655,0.1613,0.4008,-0.1289,0.3702,-0.4793,0.6154,-1.1529,-0.1457
04b6d829-b031-4d9b-99cd-7f9007227edd,5,0.7122,0.8291,0.1169,True,0.2555,totalRNA_rRNAdepleted,Neural,-0.1948,-0.7022,0.6998,1.1018,0.3132,0.0116,-2.0231,1.3223,1.2227,1.4746,-0.2065
051dc36f-47e2-4d77-b9b9-c5f2d315f5f3,3,0.8831,0.9267,0.0435,True,0.3867,polyA_selected,Mesenchymal,-1.4019,-0.8177,0.7382,-0.2951,-0.3364,-0.2149,-2.0861,-1.3813,0.0425,1.0555,-0.5179
05d2774d-cb3e-4485-9825-c04d4ca44bb6,2,0.8353,0.905,0.0697,True,0.2522,totalRNA_rRNAdepleted,Classical,-0.1279,1.0714,-0.9008,-0.2611,0.5049,-0.2017,0.24,-0.5279,-0.7144,-1.1686,-0.8156
0601cab0-163f-48e4-bc9f-87b068d8b591,2,0.2711,0.6238,0.3527,False,0.0124,totalRNA_rRNAdepleted,Classical,0.1459,0.7336,0.0155,-0.0152,0.0059,0.2232,0.6522,-0.5228,-0.853,-0.2068,0.9087
0669db2c-5724-4d83-aac7-483708e470c1,4,0.4014,0.6067,0.2053,False,0.0686,totalRNA_rRNAdepleted,Neural,0.4456,0.5716,-0.7002,0.689,0.3429,0.641,-0.2593,1.3523,0.2746,-1.0835,0.8476
075029c6-31b2-4b4a-9945-b905fc6bf730,5,0.6659,0.8077,0.1418,True,0.1743,polyA_selected,Mesenchymal,-0.2705,-0.0959,0.5387,0.2063,-0.1697,0.0631,0.2874,0.8188,0.2536,0.9368,0.0096
0819aec9-9ebc-4446-9174-08d564d32fcd,5,0.3194,0.5604,0.241,False,0.0071,totalRNA_rRNAdepleted,Neural,0.1697,0.4711,-0.7039,0.4738,0.4915,0.0023,-0.0572,0.5543,0.5171,-0.6584,-0.6166
08633296-acaa-4c6f-a2f1-29e58898a303,3,0.8782,0.9257,0.0476,True,0.2404,totalRNA_rRNAdepleted,Mesenchymal,-0.7045,-0.0461,0.7476,-0.2423,0.3438,0.3991,0.6845,-0.7155,-1.1213,0.7439,-0.1411
09713ee2-9731-433f-8748-1b10b53d6a9a,4,0.729,0.8234,0.0944,True,0.195,totalRNA_rRNAdepleted,Classical,-0.5628,0.7953,0.2143,-0.0889,0.1832,0.0153,-1.7159,-0.2965,-0.4203,-0.2742,-0.1202
09cda3f9-fd03-416c-9ad7-8e27cdb7bd10,0,0.5125,0.7098,0.1972,True,0.0616,totalRNA_rRNAdepleted,Classical,-0.1872,0.1919,-0.2886,-0.0185,1.5238,-0.2703,-0.0579,0.0395,-0.6725,0.0352,-0.0714
0a80d60d-df15-4474-92f9-97f5be07e180,2,0.8413,0.9073,0.0661,True,0.3395,polyA_selected,Classical,-0.2231,0.8594,-0.4247,-0.6138,-0.4901,-0.5552,-0.0202,-0.1153,-0.8494,-1.0244,-0.67
