sample_id,cluster,consensus_membership,consensus_own,consensus_best_other,is_core,silhouette_sample,library_batch,verhaak_nearest,sig_Proneural,sig_Classical,sig_Mesenchymal,sig_Neural,pw_MTC_OXPHOS,pw_GPM_GLYCOLYSIS_LIPID,pw_PPR_PROLIFERATION,pw_NEU_NEURONAL,pw_OLIGODENDROCYTE_MYELIN,pw_IMMUNE_MYELOID,pw_HYPOXIA_ANGIOGENESIS
ca69f18c-ec4c-4ba0-851b-03fd454888ba,0,0.7317,0.7874,0.0556,True,0.2144,totalRNA_rRNAdepleted,Classical,-0.5375,0.4952,-0.1431,-0.265,0.2958,-0.0099,-0.3329,-0.7536,0.5391,-0.0365,0.4445
0b53e868-b960-466d-b435-f41a9a8ef34b,0,0.7315,0.7845,0.0531,True,0.2705,totalRNA_rRNAdepleted,Mesenchymal,-0.4595,-0.2092,0.0691,-0.0389,0.4714,-0.6511,0.2323,-0.1437,0.5079,0.6036,-0.4309
6afd066b-806e-4568-94d9-ac189d1101af,0,0.7311,0.7822,0.0511,True,0.2824,polyA_selected,Neural,-0.5946,-0.562,-0.0458,0.1359,0.5779,-0.8984,0.0418,-0.3584,0.3258,0.5544,-0.538
20e52266-0d53-42ad-afe7-215217854dc3,0,0.7297,0.7739,0.0441,True,0.2623,totalRNA_rRNAdepleted,Proneural,-0.2587,-0.9443,-0.6373,-0.3648,1.0295,0.5242,-0.2236,-0.6447,0.5719,-0.3154,-0.172
5a2fb8ba-a509-4216-83b5-174c1ee94c17,0,0.7075,0.7636,0.0561,True,0.2623,polyA_selected,Neural,-0.7872,-0.4784,-0.2591,-0.2462,1.0721,-0.608,0.2802,-1.0648,-0.7767,0.1672,-1.2097
5ef77dbc-2112-4ab3-a669-b0f9b175f01c,0,0.7055,0.7635,0.058,True,0.2737,polyA_selected,Neural,-0.9409,-0.2786,-0.7024,-0.2704,1.0961,-0.432,-0.8919,-1.0446,-0.7785,-0.6862,-1.0572
c1c1d4e2-83de-43de-b586-9b375dc91f4d,0,0.7027,0.7646,0.0618,True,0.2182,totalRNA_rRNAdepleted,Classical,-0.5293,0.2335,0.0672,-0.5668,0.4095,0.1862,-0.0136,-0.0575,-0.3818,0.4684,0.0204
a1de7a70-a829-4491-92ab-8db44391ba19,0,0.7009,0.7579,0.0571,True,0.2513,totalRNA_rRNAdepleted,Mesenchymal,-0.7475,-0.243,-0.1233,-0.2909,1.1242,-0.4482,0.5014,-1.145,-0.6954,0.259,-1.2188
4f0a0b90-41cb-4ea7-97e0-5f771dc22fb2,0,0.6898,0.7696,0.0798,True,0.2473,totalRNA_rRNAdepleted,Classical,-0.396,0.431,-0.6674,-0.5526,1.0321,-0.2053,1.0311,-0.2326,-0.6469,-0.5971,-0.6925
1a61593f-909e-46f4-8cfa-9e23bc050033,0,0.6897,0.7745,0.0848,True,0.1763,polyA_selected,Neural,-0.4283,-0.1341,-0.2923,0.2324,0.8137,-0.3014,-0.2293,-0.6282,0.2839,0.1549,0.1687
69804564-72f3-443e-a45e-add43d917b2c,0,0.6826,0.772,0.0893,True,0.1105,polyA_selected,Classical,-0.3025,0.232,-0.006,-0.4158,0.1747,0.1798,-0.0469,0.0285,-0.379,0.0903,0.1742
def5d534-0efd-450c-bde0-f69abbe48f7c,0,0.6775,0.7497,0.0722,True,0.1375,polyA_selected,Neural,-1.2647,-0.9802,-0.4322,0.1085,1.2833,-1.1908,-0.8638,-1.2497,-0.9387,-0.0474,-0.6204
f9e9b712-c1a2-4821-924f-027e2ce78d90,0,0.6627,0.755,0.0922,True,0.1535,polyA_selected,Neural,-0.9451,-1.4986,-0.508,0.5074,0.9926,-1.6744,-1.0613,-1.0985,0.1563,0.2647,-0.5338
88c49e2a-ad65-411f-b9d9-df83de6f2b2a,0,0.6621,0.764,0.1019,True,0.1596,polyA_selected,Proneural,0.1135,-0.2458,-0.1294,-0.2514,0.6928,-0.322,0.5162,-0.2741,-0.21,0.1299,0.2841
4a173140-8ec3-4f61-9cc4-86470fb75b8a,0,0.6566,0.7588,0.1022,True,0.1712,polyA_selected,Neural,0.0309,-1.8681,-1.2297,0.4478,1.0165,-1.1979,-0.4322,-0.296,0.5001,-0.1898,-1.9078
336b678c-b044-4b16-aa80-82c9ab769326,0,0.6446,0.7407,0.0961,True,0.0966,polyA_selected,Mesenchymal,-0.8873,-0.1597,0.1281,-0.6196,0.6567,-0.0504,0.1455,-0.3924,-0.351,0.1352,0.2568
764dcbc1-1611-486e-bf1d-8a43ede692f7,0,0.6446,0.7589,0.1143,True,0.1525,totalRNA_rRNAdepleted,Neural,-0.7226,-0.9055,-0.3676,0.9018,1.2898,-0.7453,-1.4493,0.3411,0.5661,0.7191,-2.1355
64e37a02-7b4c-430c-9088-2d1c7c89a508,0,0.6431,0.7631,0.1201,True,0.214,polyA_selected,Neural,-0.6177,-1.1549,-0.6817,1.0346,1.2442,-0.6016,-0.2481,0.1777,0.8412,-0.3424,-0.7311
e84acff3-3067-49e4-82b7-dbbddfddb723,0,0.6397,0.7416,0.1019,True,0.1487,totalRNA_rRNAdepleted,Classical,-0.7655,0.5381,-0.7708,-0.8411,0.908,0.2064,0.0079,-0.5554,-0.8747,-0.8731,0.1446
25cdac9f-c440-46aa-9a4d-7298189f49b5,0,0.6217,0.7411,0.1194,True,0.1353,totalRNA_rRNAdepleted,Proneural,0.0088,-0.0199,-0.011,-0.178,0.3758,-0.0448,0.0943,-0.044,-0.2557,0.2353,-0.0834
77405f24-ebc0-45be-9beb-ac81ed1936d5,0,0.6143,0.7343,0.12,True,0.0814,totalRNA_rRNAdepleted,Mesenchymal,-0.7662,0.0579,0.2203,-0.1797,0.3006,-0.5037,-0.8239,-0.3087,-0.805,0.8627,-0.3
75615deb-e120-44f6-a585-1ca07987b7ef,0,0.6045,0.7297,0.1252,True,0.1199,polyA_selected,Classical,-0.7281,0.2295,-1.1387,-0.6855,0.8154,0.0553,-0.1569,-0.5535,-1.032,-1.5388,0.0481
b11f8af1-b2a1-474c-a6d7-e28fc0df6885,0,0.6037,0.7386,0.1349,True,0.1261,totalRNA_rRNAdepleted,Proneural,0.4327,0.2951,-0.9826,0.0158,0.6206,-0.2412,1.2733,0.4389,0.4635,-0.7491,-0.5179
4ef577ef-0834-48d7-918d-c2b5df7efaf4,0,0.5833,0.7213,0.138,True,0.0882,polyA_selected,Neural,-0.6009,-0.1082,-0.0752,0.1693,0.2109,-0.7148,-0.9062,-0.1671,-0.8658,0.3249,-0.3217
d921ae97-0106-4326-a7d1-8802fd11acbf,0,0.5727,0.7173,0.1446,True,0.0917,totalRNA_rRNAdepleted,Classical,-0.2801,0.5462,-0.6237,-0.0088,0.5911,-0.5325,-0.4196,0.5448,-0.1808,-0.4527,-0.5017
09cda3f9-fd03-416c-9ad7-8e27cdb7bd10,0,0.5125,0.7098,0.1972,True,0.0616,totalRNA_rRNAdepleted,Classical,-0.1872,0.1919,-0.2886,-0.0185,1.5238,-0.2703,-0.0579,0.0395,-0.6725,0.0352,-0.0714
d7b7ba93-518f-4ee9-a966-d5eb7c3cc8f3,0,0.4849,0.708,0.2232,False,0.097,totalRNA_rRNAdepleted,Neural,-0.2629,-0.6066,-0.1137,0.4918,0.9425,-0.6479,-0.5063,-0.1225,0.3134,0.3653,0.0468
c6080974-048f-45f4-97bf-9e4fdcaf09ee,0,0.473,0.6599,0.1869,False,0.066,totalRNA_rRNAdepleted,Classical,-0.0543,0.5104,0.3562,-0.1407,-0.0161,0.2337,-0.4215,0.0119,0.5162,0.5476,0.3771
f16d9348-2781-4518-a34a-fbfcc18e1f7b,0,0.4702,0.7053,0.2352,False,0.101,totalRNA_rRNAdepleted,Neural,-0.0644,-0.2587,-0.7749,0.6925,1.071,-0.6398,-0.3768,0.4482,0.1255,-0.3722,-1.1181
ed0f8f0e-9dbf-475b-8cd7-1f712c5929b8,0,0.3738,0.5777,0.2039,False,0.0598,totalRNA_rRNAdepleted,Proneural,0.3664,-0.2084,0.1588,0.309,0.8564,-0.2361,0.7328,-0.2543,0.0309,0.5462,0.0102
32291119-ef4e-4041-9949-dc88dfce459a,0,0.3239,0.5826,0.2587,False,0.0689,polyA_selected,Neural,-0.2133,-0.5096,-0.6138,0.6963,0.9102,-0.4586,-0.1735,-0.9391,-0.1942,-0.3608,-1.2125
df47f95a-fb4a-4ea2-a929-c1d1971997a0,0,0.3235,0.6067,0.2832,False,0.0267,polyA_selected,Mesenchymal,-0.5646,0.1521,0.4437,-0.1083,-0.119,-0.1008,0.1545,-0.163,-0.7737,0.6517,-0.5699
0257f378-cf6a-42f2-9cb1-0d10b4ca1b9a,0,0.2247,0.5432,0.3185,False,0.0397,totalRNA_rRNAdepleted,Proneural,0.2065,-0.4144,-0.0496,0.1955,0.576,0.2843,0.9045,0.2068,0.0186,0.0219,-0.0419
78484ab5-e8f8-4029-b5b2-63629a949e2f,0,0.1704,0.4894,0.319,False,0.0223,polyA_selected,Proneural,0.5157,0.1691,-0.8479,0.0807,0.3337,-0.1755,1.1379,0.4697,0.3848,-0.6036,-0.405
bd011c84-2d5f-4d9d-97c6-4ed6ad1cf044,0,0.0812,0.5016,0.4204,False,-0.0189,totalRNA_rRNAdepleted,Classical,-0.1346,0.5151,-0.2658,-0.2772,0.2916,0.3787,0.4252,-0.1342,-0.5486,-0.2893,0.0266
a6d109ab-c352-463e-a786-ea1ad30f78cf,0,0.0351,0.4664,0.4312,False,-0.0338,totalRNA_rRNAdepleted,Classical,0.2149,0.6359,-0.7153,-0.2977,-0.1322,-0.4388,0.4153,0.3035,-0.4147,-0.7979,-0.2106
7a13e0f8-ed80-4fc5-985a-f40a6585d416,0,0.0155,0.4543,0.4388,False,-0.0182,totalRNA_rRNAdepleted,Mesenchymal,-0.7526,0.1321,0.3912,0.0217,0.6137,0.1304,-0.8078,-0.1749,0.7044,0.693,-0.0672
69faa26c-4763-411b-affb-5eee559b70e1,0,-0.0219,0.3599,0.3818,False,-0.0506,polyA_selected,Classical,-0.129,0.2083,0.1486,-0.2212,-0.0497,1.3444,0.7743,-0.7506,-0.0187,-0.3587,0.5707
b5a77ad0-9041-4392-afde-ff98f1321c97,0,-0.2103,0.2796,0.4899,False,-0.0543,totalRNA_rRNAdepleted,Neural,0.1312,0.0791,-0.3265,0.2514,0.2043,0.1947,0.5292,0.1735,0.0027,-0.4537,0.7034
e3ca6a99-2907-4509-a416-eb7362b0b606,0,-0.2119,0.3275,0.5394,False,-0.0178,totalRNA_rRNAdepleted,Neural,-0.0073,-0.3294,-0.2893,0.4274,0.5424,-0.2594,0.4489,-0.7476,-0.8071,-0.0246,-1.1687
