sample_id,cluster,consensus_membership,consensus_own,consensus_best_other,is_core,silhouette_sample,library_batch,verhaak_nearest,sig_Proneural,sig_Classical,sig_Mesenchymal,sig_Neural,pw_MTC_OXPHOS,pw_GPM_GLYCOLYSIS_LIPID,pw_PPR_PROLIFERATION,pw_NEU_NEURONAL,pw_OLIGODENDROCYTE_MYELIN,pw_IMMUNE_MYELOID,pw_HYPOXIA_ANGIOGENESIS
0de1e059-6f06-44a0-abd3-c42cf2326898,1,0.8448,0.9023,0.0575,True,0.3983,totalRNA_rRNAdepleted,Proneural,1.7184,-0.7015,-1.6697,-0.0747,-0.2453,-0.8209,1.0336,0.0819,0.4661,-1.4236,-0.7933
f2bb28ee-ca66-4ca1-8e51-8aeb92084931,1,0.8397,0.8999,0.0602,True,0.3649,totalRNA_rRNAdepleted,Proneural,1.3151,-0.3931,-1.234,0.2943,0.2565,0.0025,1.477,0.7731,0.571,-1.5706,-0.1788
113df549-f143-4c50-8e18-7c2159bda4eb,1,0.8387,0.9029,0.0642,True,0.3716,polyA_selected,Proneural,1.5061,-0.0271,-0.8256,-0.0781,-0.6482,0.8444,1.5326,0.1677,1.8183,-0.9036,0.1746
c0b1e5a6-3308-43c6-9e76-feda9f67c1a0,1,0.8377,0.898,0.0603,True,0.2112,polyA_selected,Proneural,0.903,-0.7132,-1.2051,0.3709,0.2451,0.0114,0.2045,-0.2607,-0.08,-0.9868,0.3795
2c3f2491-4d3b-41da-9866-94644fc8d102,1,0.8374,0.9004,0.063,True,0.4389,totalRNA_rRNAdepleted,Proneural,1.3999,-0.7609,-1.5494,0.109,0.5023,-0.0609,1.3945,0.689,0.3109,-1.5221,-0.8397
8acdddb4-3f0d-4b61-8fdd-c187263b3216,1,0.837,0.9014,0.0644,True,0.4374,totalRNA_rRNAdepleted,Proneural,1.532,-0.273,-1.0038,0.1654,-0.1873,0.2502,1.5829,0.259,1.0245,-1.2793,0.4976
a6df72e4-5522-4711-8255-c9d6ff860f40,1,0.8358,0.9004,0.0646,True,0.3557,totalRNA_rRNAdepleted,Proneural,0.8568,-0.7996,-0.5302,-0.2099,-0.5399,0.1233,2.0525,0.651,-1.4528,-1.442,0.2426
45c55fc2-e9d6-4016-9350-95d2bba56dee,1,0.8324,0.8992,0.0668,True,0.3116,polyA_selected,Proneural,1.2137,0.2748,-1.0641,-0.1451,-0.1457,0.2582,1.2741,1.3008,-0.2652,-1.6963,-0.0661
a9b55a15-9678-4a04-9041-8e2f5a2b14f1,1,0.8315,0.896,0.0644,True,0.1714,totalRNA_rRNAdepleted,Proneural,0.6175,0.0808,-0.3525,0.0141,-0.1768,0.5738,0.9778,0.5962,0.2612,-0.528,0.8919
b556f213-9004-45b1-ab97-09cbac4406c4,1,0.83,0.8894,0.0594,True,0.3616,totalRNA_rRNAdepleted,Proneural,1.528,-0.9576,-2.036,-0.3396,-0.0338,0.1419,1.3401,0.3221,-0.379,-2.5852,-0.1548
abe6bb88-6bf3-41f2-897e-073edf2ebc33,1,0.8289,0.8928,0.064,True,0.3494,totalRNA_rRNAdepleted,Proneural,0.8945,-0.8302,-0.7277,0.4174,0.9418,-0.1828,1.0021,0.3857,0.3241,-1.4691,0.1718
5d732c32-681d-46ca-b0bd-404ab47c64db,1,0.8269,0.8921,0.0652,True,0.3007,polyA_selected,Proneural,1.124,0.1365,-0.6468,-0.1543,-0.3348,0.5889,0.9623,0.7047,0.7284,-0.6235,0.7771
511393a1-da49-4cf1-80d6-7f50a6c3043d,1,0.8265,0.8921,0.0656,True,0.1359,polyA_selected,Proneural,0.7878,0.1522,-0.1182,0.105,-0.3079,0.7407,1.0288,0.6653,0.2586,-0.2429,1.1652
388193e4-004b-44b4-9eac-267eab7a9412,1,0.8252,0.8927,0.0675,True,0.3061,totalRNA_rRNAdepleted,Proneural,1.2517,-0.6013,-1.0095,0.3306,0.6414,0.1697,1.2793,0.2078,1.2705,-0.9088,-0.136
