cluster,gene,log2FC,t,p,FDR
1,NKAIN1,1.6808767,18.536842,1.1647869e-33,4.2827549015954274e-30
1,KLHL23,1.4746056,18.13344,1.2304684000000002e-38,1.5834898433047315e-34
1,ZDHHC22,1.3335986,17.159676,1.6843220000000002e-39,4.335106649546846e-35
1,PLPPR1,1.4112575,17.15082,1.9551902999999998e-36,1.6774229938258492e-32
1,BCL7A,1.62605,17.085775,2.5588037000000002e-30,4.390566016243969e-27
1,SRSF12,1.5630604,16.997969,2.0835757000000003e-31,5.362707248571548e-28
1,ATCAY,1.434341,16.80005,4.0486317e-34,1.7367280160517644e-30
1,MARCKSL1,1.407074,16.745434,9.562525e-35,4.922405351638961e-31
1,MEX3A,1.4540789,16.67186,5.2062220000000006e-33,1.674971793447134e-29
1,PHACTR3,1.3419256,16.556917,4.1888494e-36,2.695315094634615e-32
1,SBK1,1.5199845,16.535995,8.097012e-31,1.6616582226127544e-27
1,DCX,1.5092018,16.389078,1.4871058e-30,2.7339376747433678e-27
1,SLCO5A1,1.7034414,16.252558,1.02995336e-26,8.83631330640317e-24
1,FAM171A2,1.3977957,16.00011,7.2069994e-32,2.061041633705778e-28
1,SATB1,1.500371,15.963459,2.719068e-29,3.887965066330306e-26
1,RAB9B,1.5127815,15.862922,1.0352324e-28,1.1584700209402397e-25
1,FAXC,1.4735795,15.726046,4.8166267999999997e-29,6.524754698997638e-26
1,SCN3A,1.4369589,15.716509,8.348722999999999e-30,1.342996402167907e-26
1,FAM117B,1.6667271,15.615568,1.3476161e-25,9.374308984408888e-23
1,C16orf87,1.6621085,15.6038065,1.2623771e-25,9.025295208970872e-23
1,TMEM169,1.5202512,15.564751,1.2518551000000001e-27,1.2392402859469803e-24
1,LINC02210,1.4895431,15.511865,5.1082114e-28,5.478131157552191e-25
1,RNF165,1.571373,15.38288,2.84516e-26,2.219052377903995e-23
1,CRMP1,1.4248953,15.360342,8.6050604e-29,1.0067138085262628e-25
1,TOX3,1.5901338,15.256438,1.1626338e-25,8.549676726642521e-23
1,MEX3B,1.6151226,15.120761,5.539876e-25,3.5646330678078376e-22
1,ANKRD13B,1.4493716,14.780926,2.1563179e-26,1.7343534563894574e-23
1,CEP97,1.5928559,14.660345,4.5046557e-24,2.147052352881647e-21
1,MBTD1,1.6001301,14.560622,9.6374995e-24,4.066392770634863e-21
1,GSTA4,1.363966,14.545405,3.808113e-27,3.630119108402715e-24
1,LINC01560,1.5023144,14.533926,7.4160650000000005e-25,4.544635452395478e-22
1,GRIK2,1.331259,14.515024,1.0740760000000001e-27,1.1057826815588047e-24
1,CDK5R1,1.3585119,14.411663,8.829381e-27,8.116093096837531e-24
1,ACVR2A,1.6697128,14.402664,1.086083e-22,3.327810135216184e-20
1,RCOR2,1.4856911,14.385064,1.170292e-24,6.548038574723005e-22
1,NUDT10,1.1709486,14.306407,8.392865000000001e-31,1.6616582226127544e-27
1,DNM3,1.5629168,14.293278,1.7880818e-23,6.868903176898107e-21
1,ZNF74,1.406142,14.271087,1.7474104e-25,1.1835486294537274e-22
1,CHD7,1.674409,14.220102,3.0421003000000004e-22,8.329529252616479e-20
1,FOXO3B,1.4618491,14.115133,3.3259965000000004e-24,1.6462404142395773e-21
1,AADAT,1.4175415,14.106476,8.512782e-25,4.979590936858714e-22
1,KIF21B,1.42747,14.074421,1.4815219000000001e-24,7.781920541134833e-22
1,MAP2,1.1993837,14.05823,6.6659384e-29,8.169900885969801e-26
1,TRO,1.3024292,14.027177,1.7568294e-26,1.458621769245739e-23
1,SOX4,1.5448806,14.021408,5.6248446e-23,1.832560142406516e-20
1,GNG4,1.3914521,13.990461,7.9317026e-25,4.747585016143485e-22
1,CLASP2,1.4128584,13.91479,2.779876e-24,1.4029107367361405e-21
1,ZBTB5,1.4409761,13.900661,7.328442e-24,3.1436572665074467e-21
1,FLRT1,1.4681731,13.879249,1.8436375e-23,6.97816787374568e-21
1,GSK3B,1.4128006,13.821887,5.2612676e-24,2.4181161947640786e-21
1,NOL4,1.3376263,13.69517,1.0270183e-24,5.874088128764805e-22
1,PODXL2,1.3195059,13.652754,7.2427630000000005e-25,4.544635452395478e-22
1,RNGTT,1.433156,13.641559,3.2080090000000004e-23,1.1310648153250536e-20
1,KCNH8,1.6005907,13.623688,1.66494e-21,3.726280346278922e-19
1,WASF1,1.4606632,13.592608,9.183679000000001e-23,2.847825634873532e-20
1,LRCH2,1.4035747,13.59181,1.8976898e-23,7.078658032546632e-21
1,ZFP69B,1.4507744,13.580732,7.6476316e-23,2.4004236647592796e-20
1,NIPBL-DT,1.3814309,13.574024,1.0901801999999999e-23,4.453818606703413e-21
1,ZNF286A,1.5126436,13.572802,3.6257006000000004e-22,9.720654327447532e-20
1,HDAC2,1.5943172,13.569738,1.9691747e-21,4.331847868641025e-19
1,KIAA1549,1.3480077,13.53791,4.7528136e-24,2.2241439105478945e-21
1,ZNF300,1.4715472,13.513294,1.9682505000000001e-22,5.628759111449354e-20
1,PAK3,1.3017905,13.482445,1.3936054000000001e-24,7.472628350136749e-22
1,MTSS1,1.6095178,13.451819,4.78814e-21,9.703711779664826e-19
1,ZSCAN16,1.3938786,13.433001,4.1602630000000005e-23,1.408905990187487e-20
1,DPYSL4,1.3927635,13.397411,5.1151420000000005e-23,1.7045904421933818e-20
1,PPM1E,1.308819,13.396803,3.4812e-24,1.6905496453186236e-21
1,AC079089.1,1.7920779,13.349831,1.0223323e-19,1.5662374046232384e-17
1,LINC01918,1.4954948,13.345552,9.293264e-22,2.1895484228018313e-19
1,AL845472.1,1.568011,13.330991,4.304002e-21,8.933581034472645e-19
1,DSCAML1,1.5732269,13.317904,5.0732518e-21,1.0201199734431385e-18
1,AL354892.2,1.4436047,13.315188,3.351769e-22,9.080824463980942e-20
1,RUFY3,1.3062503,13.300215,6.6025244000000005e-24,2.9813294429428224e-21
1,IGSF9B,1.4228703,13.257909,2.8585315e-22,7.911062876539193e-20
1,CELF3,1.4247875,13.181052,4.8623205e-22,1.2901691216949865e-19
1,FSD1,1.3632032,13.133953,1.2978353000000002e-22,3.929845560102546e-20
1,PAK5,1.6183863,13.125762,2.8853313e-20,4.76042697041379e-18
1,PGBD1,1.2176036,13.057409,1.6193949000000001e-24,8.335997279768952e-22
1,ZNF778,1.3893027,13.023838,5.4190130000000005e-22,1.4232098232373594e-19
1,HSDL1,1.3847862,13.001822,5.5647324e-22,1.4467180029559385e-19
1,ATAT1,1.3469841,12.994581,2.1133734e-22,5.977362998039005e-20
1,CBX1,1.2820961,12.984279,3.1081625e-23,1.11108170806668e-20
1,AL031778.1,1.2690763,12.982068,2.0328073e-23,7.474341976483216e-21
1,PLCXD2,1.5726463,12.946567,3.492115e-20,5.652833525132386e-18
1,DCAF7,1.2428131,12.92592,1.2419163e-23,4.917606239679169e-21
1,MACO1,1.5287819,12.924698,1.8775016e-20,3.2874065347720452e-18
1,LRRC4,1.3141037,12.923537,1.3304148000000002e-22,3.98165311528243e-20
1,FOXN2,1.5356153,12.866749,2.8799017e-20,4.76042697041379e-18
1,SPTBN2,1.3519533,12.835478,7.045451e-22,1.7436135359809431e-19
1,JPH4,1.1369449,12.821932,3.9219906e-25,2.588312677313157e-22
1,ZNF711,1.2877483,12.809076,1.3540098000000002e-22,4.005690097223436e-20
1,LINC02488,1.6094509,12.794202,1.3035285999999999e-19,1.9620011148442928e-17
1,ZNF821,1.364423,12.78959,1.3113761e-21,2.986920204006632e-19
1,DGKI,1.4828204,12.779581,1.8111078e-20,3.2147788292530345e-18
1,GPC2,1.4341584,12.779342,6.927276e-21,1.3405581070204032e-18
1,LBR,1.5048548,12.7631235,2.9558323e-20,4.845682278710493e-18
1,SOX11,1.415642,12.698974,7.55788e-21,1.4303287957865874e-18
1,TDRKH-AS1,1.263534,12.68381,1.5903659e-22,4.651458889175298e-20
1,SYT6,1.4467356,12.678461,1.6122632e-20,2.901848248923628e-18
1,STMN4,1.2160615,12.673725,3.4945330000000004e-23,1.1992304599208702e-20
