sample_id,cluster,consensus_membership,consensus_own,consensus_best_other,is_core,silhouette_sample,library_batch,verhaak_nearest,sig_Proneural,sig_Classical,sig_Mesenchymal,sig_Neural,pw_MTC_OXPHOS,pw_GPM_GLYCOLYSIS_LIPID,pw_PPR_PROLIFERATION,pw_NEU_NEURONAL,pw_OLIGODENDROCYTE_MYELIN,pw_IMMUNE_MYELOID,pw_HYPOXIA_ANGIOGENESIS
79b783ac-103f-47a6-bc4b-8498a0be46ac,2,0.8533,0.9099,0.0566,True,0.4513,polyA_selected,Classical,0.0632,1.0421,-0.3138,-0.7778,-0.3042,0.3131,0.8497,-0.5034,-0.837,-0.8471,0.6389
e36091c6-d62c-4997-bb9f-7192b73f12ed,2,0.8506,0.9085,0.0579,True,0.4148,polyA_selected,Classical,-0.0892,0.5167,-0.449,-0.4935,0.2954,0.9466,1.141,-0.6585,-0.3295,-0.9906,0.6843
116233db-c003-4224-9359-17f290bf1eea,2,0.8494,0.9085,0.0591,True,0.3292,totalRNA_rRNAdepleted,Classical,0.1093,0.6491,-0.2899,-0.2339,0.3202,0.5381,0.4846,0.1009,-0.66,-0.5142,0.4106
5862a2c8-9700-4bfd-8247-176efebc3efb,2,0.8492,0.9091,0.0599,True,0.325,polyA_selected,Classical,-0.0082,0.5238,-0.6627,-0.2408,0.4983,-0.9348,0.2422,0.1445,0.0566,-0.7362,-0.6482
9c6e0acf-3b58-4c3f-99f1-460b0aa68693,2,0.8491,0.909,0.0598,True,0.362,totalRNA_rRNAdepleted,Classical,0.0599,1.1098,-0.3851,-0.6899,-0.0288,-0.0746,0.6217,-0.0048,-0.5081,-0.9116,0.2576
2463aaf7-9673-4bf2-9e8e-41d01e2379a1,2,0.8485,0.9083,0.0598,True,0.331,totalRNA_rRNAdepleted,Classical,-0.5137,0.9302,0.1872,-0.5007,-0.3676,0.1558,-0.7146,-0.2164,-0.9222,-0.0296,0.4628
39c60ad1-540a-4ad9-a735-b83f5d1c51f1,2,0.8472,0.9071,0.0599,True,0.4402,polyA_selected,Classical,-0.1019,0.7976,-0.4535,-0.3716,0.2734,0.1241,0.5278,-0.1966,-0.7581,-1.2995,0.4007
7a5f6106-e991-4fdb-ae52-61099bd8c3b9,2,0.8469,0.9064,0.0595,True,0.3497,totalRNA_rRNAdepleted,Classical,-0.1274,0.7874,0.1466,-0.3877,-0.1112,0.0266,0.6474,0.0466,-0.4858,-0.0701,-0.2684
54f5fb74-d1b8-4ad8-a1d3-2949ef36653f,2,0.8463,0.9073,0.061,True,0.2908,totalRNA_rRNAdepleted,Classical,0.0088,0.8946,-0.5008,-0.2617,0.29,0.1637,1.114,-0.6374,-0.5036,-0.967,0.3504
cebc70af-a3df-45ef-9656-050f382f64e8,2,0.8463,0.9084,0.0621,True,0.3924,polyA_selected,Classical,0.1706,1.1184,-0.3989,-0.2468,0.1819,-0.0854,0.7108,0.5283,-0.4096,-0.3405,-0.5494
ef9cc9ef-1cf3-46fc-b3cb-06ea0582b7fa,2,0.8449,0.907,0.0621,True,0.3955,totalRNA_rRNAdepleted,Classical,0.2627,0.8817,-0.6853,-0.621,-0.1687,-0.1973,0.9546,0.2899,-0.4518,-1.0528,-0.0176
0a80d60d-df15-4474-92f9-97f5be07e180,2,0.8413,0.9073,0.0661,True,0.3395,polyA_selected,Classical,-0.2231,0.8594,-0.4247,-0.6138,-0.4901,-0.5552,-0.0202,-0.1153,-0.8494,-1.0244,-0.67
