cluster,gene,log2FC,t,p,FDR
2,MEOX2,1.1490821,13.755502,3.8830690000000003e-31,3.3314142991587535e-27
2,VAV3,1.2550131,12.620693,2.1034844e-24,2.353890505092608e-21
2,SPRY2,1.1302212,12.12252,2.0042155e-24,2.3447499281608364e-21
2,ETV4,1.2798185,12.020012,4.607553e-22,2.6353156326222605e-19
2,AC064875.1,1.1373107,11.646991,1.6269236e-22,1.1317232515520204e-19
2,ZNF558,1.0568916,11.311738,2.3901811e-22,1.464725736827446e-19
2,EYA2,1.1142838,11.292124,1.5902599e-21,7.722661830479357e-19
2,SPRY1,1.1862329,11.155884,2.876552e-20,1.105025276476886e-17
2,SPRY4,1.073642,10.643182,1.0355665999999999e-19,3.2504163691560057e-17
2,SPRED2,1.0853566,10.603756,1.8589115e-19,5.563333080928911e-17
2,TRIB2,1.1007278,10.597302,2.7682987e-19,8.096644524725287e-17
2,LINC02587,1.027242,10.537836,7.6414835e-20,2.554240227926715e-17
2,ZNF521,0.99359083,10.412819,9.0643065e-20,2.978578224648097e-17
2,TGIF2,1.2082907,10.31934,1.4302176e-17,2.968624240358476e-15
2,RHOJ,1.1287156,10.305894,4.124375e-18,9.3116810577553e-16
2,ZNF426,1.0685613,10.240021,2.0552191999999997e-18,4.943666474107811e-16
2,EGFR,1.0872961,10.073049,1.0068030000000001e-17,2.1067557720515613e-15
2,LHFPL6,1.085877,9.93159,2.6773625e-17,5.142533938977671e-15
2,FKBP10,1.0258987,9.922792,9.322840000000001e-18,1.966813613940554e-15
2,EPHB4,0.98480344,9.857388,6.583520599999999e-18,1.4239214346313732e-15
2,CLPX,0.93222106,9.754421,4.704377e-18,1.0438039583473538e-15
2,ZC3H14,0.9778011,9.732283,1.4991163e-17,3.038130412027679e-15
2,RAB34,0.8307621,9.722326,5.621113999999999e-19,1.555658525035771e-16
2,TMEM221,1.0016881,9.716921,2.7110423e-17,5.168652366316157e-15
2,PLCG1,1.0284305,9.518283,1.8532529e-16,3.0973391915841574e-14
2,GAS1,1.1525971,9.493839,1.2656081e-15,1.7897923680361677e-13
2,DMRTA2,1.0846705,9.438874,7.478031e-16,1.0935770715433189e-13
2,TGIF1,0.92543185,9.376564,8.131453000000001e-17,1.4237234017855826e-14
2,TTC23,0.911608,9.345261,7.882753e-17,1.3896321724130136e-14
2,ELOVL2,1.022511,9.292357,8.120475e-16,1.167624539885599e-13
2,PCIF1,1.0272218,9.234627,1.2906943e-15,1.8054287307317266e-13
2,TMEM131,1.0421029,9.220368,1.7553807e-15,2.3904755673462013e-13
2,AJUBA,1.0864216,9.197864,3.628873e-15,4.717168364674937e-13
2,PTPRA,1.0878721,9.195158,3.757909e-15,4.860354860066399e-13
2,EFCAB11,1.099182,9.192456,4.3801865e-15,5.553558775959233e-13
2,TLK1,0.9426647,9.139257,6.626857600000001e-16,9.802416900214869e-14
2,ELOVL2-AS1,0.97337884,9.067207,1.8240725e-15,2.470946327665383e-13
2,SYDE1,0.90093225,9.057333,5.8440414e-16,8.796136536822135e-14
2,SPRED1,1.0044407,9.048907,3.2666878e-15,4.26791921037278e-13
2,SHOX2,0.9445207,9.0451355,1.3507131e-15,1.859072536437121e-13
2,FBXO17,0.75828147,9.004891,5.642302e-17,1.0084831491791026e-14
2,CARMIL1,0.9152834,8.911354,2.1984613e-15,2.962512979260188e-13
2,LRP5,0.95740837,8.896731,4.6914597e-15,5.919058135785056e-13
2,ZNF433,1.0261784,8.878841,1.332592e-14,1.4720280311805972e-12
2,UNC45A,0.8191138,8.852642,6.225502e-16,9.261963386351397e-14
2,ADGRE5,1.1308279,8.820928,5.7345343e-14,5.347661122297156e-12
2,AL049871.1,1.1262622,8.812968,5.762597e-14,5.354430096256377e-12
2,DENND2A,1.0212357,8.7798815,2.3671113e-14,2.4272792717781894e-12
2,SHROOM3,0.9638497,8.7672,1.2437465e-14,1.391806356156105e-12
2,FERMT2,0.95819604,8.7371,1.4108426e-14,1.532163168021814e-12
2,TLE2,0.8968408,8.690442,8.023299e-15,9.695008228673837e-13
2,NES,0.9158309,8.680527,1.1441882e-14,1.3030582021463385e-12
2,SLC2A4RG,0.9957711,8.667706,3.590954e-14,3.554768445413769e-12
2,ZNF333,0.94836044,8.665114,2.0065792e-14,2.1332103893108678e-12
2,MAP4K3,0.93636584,8.6591015,1.7755176e-14,1.9120616294368017e-12
2,QTRT1,1.0841739,8.625132,1.1796814e-13,1.0205225180947608e-11
2,SNX5,1.0173542,8.623922,6.065252e-14,5.615375870129168e-12
2,SOX9,0.91777474,8.589176,2.213147e-14,2.3155276251060053e-12
2,TMEM161A,1.0360504,8.584623,9.429612e-14,8.427060746749346e-12
2,DPY19L3,0.94248646,8.498146,5.6578518e-14,5.295337905538004e-12
2,BLM,0.9110477,8.455774,5.0105783e-14,4.741259672451125e-12
2,PRKD2,1.0578717,8.432743,2.8883924e-13,2.230398965984605e-11
2,TIMM29,0.9706026,8.423964,1.2747321e-13,1.0900018429377728e-11
2,DZIP1,0.9504885,8.411226,1.0990604e-13,9.621638331118971e-12
2,P3H4,1.0005394,8.385086,2.2330999e-13,1.7684777403176738e-11
2,CREB5,0.9762367,8.37996,1.7897473e-13,1.4350316712016194e-11
2,ERF,1.0606403,8.37066,4.255234e-13,3.156231088205564e-11
2,KDELR1,0.95697117,8.370285,1.5395915e-13,1.2741480610853829e-11
2,BCAM,0.879468,8.350044,6.742803e-14,6.132376899175274e-12
2,PCDH19,0.9338219,8.338564,1.4469307e-13,1.2091266660346553e-11
2,LFNG,1.0038915,8.333642,3.1608375e-13,2.428466714620109e-11
2,PTBP1,0.87471616,8.326618,7.424885e-14,6.705322457123018e-12
2,POMT2,0.93952656,8.316135,1.786811e-13,1.4350316712016194e-11
2,FBXL12,1.0633844,8.312047,6.114526e-13,4.2649234941635397e-11
2,TRMT61A,0.9542142,8.247901,3.240132e-13,2.4746147761992047e-11
2,PIGU,1.1269643,8.22422,1.5982018e-12,9.998891897842803e-11
2,EGFR-AS1,0.9929515,8.218094,5.7311604e-13,4.0635980653252726e-11
2,CAMK2D,0.99478966,8.212265,6.03907e-13,4.223738750057563e-11
2,AL049637.1,1.0330913,8.206897,8.7476364e-13,5.841119183040046e-11
2,ZNF441,0.8554314,8.194074,1.4223426e-13,1.196348176660673e-11
2,SLC2A10,0.73894453,8.187959,2.6705463e-14,2.7060836074142567e-12
2,GMEB2,0.83186054,8.186311,1.0896926e-13,9.572186805046378e-12
2,ZNF136,0.9008447,8.145921,3.4415426e-13,2.582461358460588e-11
2,DPF2,0.8283402,8.141557,1.4184906e-13,1.196348176660673e-11
2,AASS,0.85726964,8.139744,2.1085221e-13,1.6749734658246158e-11
2,DLC1,0.9167502,8.1118355,5.120245e-13,3.690994375439238e-11
2,DUSP6,0.86007035,8.103405,2.7907968e-13,2.176652393679681e-11
2,C19orf44,0.95492494,8.075075,9.514766e-13,6.279257911355438e-11
2,RFXANK,0.91898674,8.0580845,7.368643e-13,5.051508147949848e-11
2,TNPO2,0.7780357,8.0415945,1.4177843e-13,1.196348176660673e-11
2,NIFK,0.9440795,8.010407,1.2730448e-12,8.191406664082023e-11
2,IGDCC4,0.7993175,7.988807,2.770968e-13,2.1677561468260693e-11
2,ACSL3,1.0496142,7.9858193,3.5062426e-12,1.996541457234681e-10
2,TM9SF4,0.8947438,7.9843073,9.0874807e-13,6.043761758641601e-11
2,AKAP8,0.87376064,7.9807034,7.3796215e-13,5.051508147949848e-11
2,PPAN,0.8697951,7.9602227,8.0586183e-13,5.443903362513245e-11
