sample_id,cluster,consensus_membership,consensus_own,consensus_best_other,is_core,silhouette_sample,library_batch,verhaak_nearest,sig_Proneural,sig_Classical,sig_Mesenchymal,sig_Neural,pw_MTC_OXPHOS,pw_GPM_GLYCOLYSIS_LIPID,pw_PPR_PROLIFERATION,pw_NEU_NEURONAL,pw_OLIGODENDROCYTE_MYELIN,pw_IMMUNE_MYELOID,pw_HYPOXIA_ANGIOGENESIS
32ee07e4-bec3-4d00-b603-60933581046c,3,0.889,0.9291,0.0401,True,0.4189,totalRNA_rRNAdepleted,Mesenchymal,-1.1628,-0.9819,1.7401,-0.2222,-1.1243,-0.1675,-1.4345,-1.1669,0.5961,2.0545,0.7177
b44a40d4-3233-4b45-b0b3-799823970345,3,0.8876,0.9308,0.0432,True,0.3861,totalRNA_rRNAdepleted,Mesenchymal,-0.9147,-0.2963,1.0732,-0.0491,0.1964,0.2183,-0.6189,-0.345,-0.7515,1.2853,0.5773
b134958f-ae1e-4309-9cfc-16b443ab10c8,3,0.8856,0.9285,0.0429,True,0.4158,polyA_selected,Mesenchymal,-0.9175,-0.0489,0.7696,-0.471,-0.5427,0.3036,-1.1823,-0.7397,-0.7599,0.5862,1.0828
58d714ce-bdb7-4365-b3f9-a5464237b1d4,3,0.8848,0.9285,0.0437,True,0.4005,polyA_selected,Mesenchymal,-1.2266,-0.2629,1.1794,-0.7923,-0.2779,0.6656,0.4565,-0.8355,-0.4008,0.5532,0.5844
92dec9cc-fcd9-4cfc-9bc2-84372e772a5d,3,0.8848,0.9266,0.0418,True,0.3818,polyA_selected,Mesenchymal,-0.7517,0.3872,1.0146,-0.8822,-1.1451,0.4415,-1.6691,-0.7128,-0.5674,1.0457,1.1033
d561fbb1-a288-4a37-98de-65247968fa40,3,0.8841,0.9282,0.0441,True,0.4473,totalRNA_rRNAdepleted,Mesenchymal,-0.8847,0.0877,1.0027,-0.5501,-0.9058,0.4691,-1.0039,-0.7807,-0.6704,0.9138,1.0369
e749773c-7cd6-45d4-ae43-68b03f9b2a25,3,0.8833,0.9273,0.0441,True,0.3956,totalRNA_rRNAdepleted,Mesenchymal,-1.5312,-0.5509,1.0169,-0.3057,-0.1679,-0.1648,-0.9226,-1.3752,-1.1055,1.2019,0.0972
59f436d5-7a66-40a8-9bca-b1e354452492,3,0.8831,0.9286,0.0455,True,0.384,totalRNA_rRNAdepleted,Mesenchymal,-0.5884,0.2721,0.9141,-0.5092,-0.325,0.2341,0.0629,-0.5384,-0.181,0.7277,0.6286
051dc36f-47e2-4d77-b9b9-c5f2d315f5f3,3,0.8831,0.9267,0.0435,True,0.3867,polyA_selected,Mesenchymal,-1.4019,-0.8177,0.7382,-0.2951,-0.3364,-0.2149,-2.0861,-1.3813,0.0425,1.0555,-0.5179
7d1ba30d-6d00-479f-8ae9-f818c56ba9c5,3,0.8831,0.9217,0.0386,True,0.3385,polyA_selected,Mesenchymal,-1.1933,-0.7456,1.7214,-0.4221,-0.4053,-0.2719,0.2404,-0.9505,-0.6624,1.3574,-0.4686
33ce2e6b-71eb-459d-9b05-9495a21be871,3,0.8831,0.9289,0.0458,True,0.267,totalRNA_rRNAdepleted,Mesenchymal,-0.649,0.1763,0.5821,-0.4849,-0.291,0.519,-0.7617,-0.6117,0.1263,0.6328,0.6121
31872322-b3b2-48fd-b86d-ad15525f6fec,3,0.8829,0.9275,0.0446,True,0.288,totalRNA_rRNAdepleted,Mesenchymal,-0.6785,0.5566,0.6338,-0.6979,-0.8379,0.5478,0.4412,-1.2146,-1.134,0.7229,0.3482
328b149f-1c8d-4350-8ed8-a666bdc6a3f9,3,0.8828,0.9276,0.0448,True,0.4431,polyA_selected,Mesenchymal,-1.3609,-1.0656,1.3292,-0.3331,-0.3603,0.0976,-0.7579,-0.2544,-1.1272,1.074,0.0184
c6b96227-30c4-41f4-9932-b184895a11a1,3,0.8823,0.9278,0.0455,True,0.4066,totalRNA_rRNAdepleted,Mesenchymal,-1.263,-0.4026,1.4864,-0.7442,0.0199,0.0292,0.0265,-0.7978,-1.4463,1.3874,-0.1543
3161d1dc-d31c-42ea-b6e4-a92dfac232d5,3,0.8819,0.9287,0.0467,True,0.4491,totalRNA_rRNAdepleted,Mesenchymal,-0.7476,-0.2856,0.813,-0.0971,-0.1031,0.7037,-0.8635,-0.9329,-0.3584,0.8085,0.7278
13da7123-db39-4bab-9521-daef5d3030ae,3,0.8816,0.9265,0.045,True,0.3189,polyA_selected,Mesenchymal,-1.1886,-0.7309,1.0035,-0.8054,-0.8305,-0.647,-0.052,-1.1379,-1.0313,0.8123,-0.1911
6b59c7e7-11f7-4326-a849-2e1a6bb9f3e7,3,0.8806,0.9266,0.046,True,0.2732,polyA_selected,Mesenchymal,-1.0581,-1.0559,0.6724,0.2801,0.3668,-0.83,-1.2204,-0.9397,-0.5131,1.3148,-0.3071
b198a226-f734-46c8-93db-0914f0fa6805,3,0.8803,0.9254,0.0451,True,0.391,polyA_selected,Mesenchymal,-1.4584,-1.4482,1.3859,-0.2353,-0.461,-0.9142,-1.6095,-1.0931,-0.0432,2.0049,-0.1252
4852a0bd-7339-45c7-abab-2b17b4792106,3,0.8801,0.9278,0.0478,True,0.3867,totalRNA_rRNAdepleted,Mesenchymal,-0.7585,-0.3849,0.9431,-0.3475,0.5335,0.0428,-0.044,-0.2424,-0.3949,0.9834,0.2157
63af1588-387b-44a7-97ed-4f73559347c2,3,0.8801,0.9251,0.0451,True,0.4251,polyA_selected,Mesenchymal,-0.9435,0.0774,0.7656,-0.5502,-0.6934,-0.3567,-1.2309,-0.9426,-0.903,1.0199,0.5025
cdd06204-36e8-4cf9-90c2-f96149f5f58e,3,0.8801,0.9256,0.0455,True,0.4074,totalRNA_rRNAdepleted,Mesenchymal,-0.9942,0.2756,1.0224,-0.9624,-0.7784,0.4347,-1.5484,-0.9566,-0.6341,1.1486,0.9011
5eb967ae-6a4a-4109-948c-36f00dc471fe,3,0.8794,0.9241,0.0447,True,0.361,totalRNA_rRNAdepleted,Mesenchymal,-1.601,-1.3137,1.5697,-0.3682,-0.5174,-0.6863,-1.6629,-1.3545,0.1056,2.0452,0.0163
d89d1ff1-7285-458d-8c32-2446a1d98b7b,3,0.8788,0.9257,0.0469,True,0.2677,totalRNA_rRNAdepleted,Mesenchymal,-1.0803,0.3855,1.0788,-1.071,-0.3574,0.2233,-0.3801,-0.8002,-0.8246,1.1815,0.8269
08633296-acaa-4c6f-a2f1-29e58898a303,3,0.8782,0.9257,0.0476,True,0.2404,totalRNA_rRNAdepleted,Mesenchymal,-0.7045,-0.0461,0.7476,-0.2423,0.3438,0.3991,0.6845,-0.7155,-1.1213,0.7439,-0.1411
5237a678-9f82-4aa3-a874-39179cff6ba5,3,0.8779,0.9251,0.0472,True,0.3457,polyA_selected,Mesenchymal,-1.0927,-0.9375,1.4558,0.1589,-0.445,-0.1507,-1.3137,-0.1708,0.952,2.1377,0.2939
9cee9b1d-e8ee-4f8e-be85-c96dac6138b3,3,0.8766,0.9245,0.0479,True,0.3421,totalRNA_rRNAdepleted,Mesenchymal,-1.0327,-0.6362,1.3191,0.2093,-0.2329,0.1109,-1.1021,-0.1987,0.9599,1.9618,0.1606
034c42f2-fee6-4196-9c02-24589ce01071,3,0.8762,0.9237,0.0474,True,0.2542,totalRNA_rRNAdepleted,Mesenchymal,-0.9317,-0.2549,0.6845,-0.8651,0.1412,1.1911,0.1982,-0.7228,-1.2591,-0.3053,0.5892
6824df5a-832c-4a45-b654-05ba9ac03369,3,0.8755,0.9242,0.0487,True,0.3867,polyA_selected,Mesenchymal,-0.953,-0.3315,0.9196,-0.2007,-0.0229,0.0418,-0.8323,-0.2176,-0.8035,1.1036,0.5658
e58cdc72-ac07-40cd-90c5-ebb2d0b8321d,3,0.875,0.9232,0.0483,True,0.2522,totalRNA_rRNAdepleted,Mesenchymal,-1.1544,-0.5313,0.5891,-0.3113,0.4421,-0.2848,-0.7924,-0.9143,-1.3475,1.037,-0.3261
c1095377-3814-4ab9-a979-1e4c116c2f22,3,0.8732,0.9219,0.0487,True,0.2837,totalRNA_rRNAdepleted,Mesenchymal,-1.5468,-1.0058,1.2534,-0.4728,-0.1255,0.1216,-0.7337,-0.3351,-0.9944,1.0981,-0.0471
dad61e18-e3f1-4beb-b3c3-ae434e35af2d,3,0.872,0.9102,0.0381,True,0.2921,polyA_selected,Mesenchymal,-0.4983,0.2699,1.0375,-0.4627,-0.6433,0.3271,0.0096,-0.44,-0.2148,0.8454,0.7086
e8c1b868-8139-4831-9c66-32f22d556f29,3,0.8691,0.9195,0.0504,True,0.2128,polyA_selected,Mesenchymal,-0.9154,-0.1077,0.515,-0.0042,0.3594,0.0206,-0.9566,-0.7119,0.6415,0.9446,-0.029
2be90092-0bf2-493c-8864-b9bd3efa2fcc,3,0.8681,0.9197,0.0516,True,0.1796,totalRNA_rRNAdepleted,Mesenchymal,-1.1263,-0.4245,0.5746,-0.0054,0.4639,-0.2104,-0.8049,-0.2286,-0.0773,1.0195,-0.538
64d208b9-6a15-4077-885f-30d9cdedf147,3,0.8628,0.8987,0.0359,True,0.1507,polyA_selected,Mesenchymal,-0.5287,0.5473,0.6924,-0.4337,-0.7253,0.6161,0.3705,-1.0781,-1.1962,0.6869,0.5322
36b191bd-843f-45e6-9ff2-d99f649c5d0f,3,0.8591,0.8987,0.0396,True,0.1659,totalRNA_rRNAdepleted,Mesenchymal,-0.7354,0.0839,0.7157,-0.0762,-0.2716,0.073,-0.7751,-0.9474,-0.5632,0.6251,-0.525
55e09827-cf4f-4286-84cc-2b2da280266e,3,0.8575,0.9105,0.0531,True,0.1994,totalRNA_rRNAdepleted,Mesenchymal,-1.0602,0.3897,0.7784,-0.7639,-0.1432,-0.3902,-0.9034,-0.8623,-0.702,0.8203,-0.1218
3dd357c6-9e04-4f73-ae88-18143988e383,3,0.8567,0.8942,0.0375,True,0.2235,polyA_selected,Mesenchymal,-0.7635,-0.3114,0.8509,-0.2969,-0.0581,-0.0714,0.1716,-0.8248,-1.0202,0.739,-0.1775
9336dd74-2f3f-4c1f-bebf-e4aae364f784,3,0.8561,0.9117,0.0556,True,0.2384,totalRNA_rRNAdepleted,Mesenchymal,-1.4534,-0.2974,0.9907,-0.9685,0.1725,0.5601,0.5157,-1.0055,-0.2856,0.4694,0.3964
9858ebaa-c001-462d-a0d2-7d302f4aaba1,3,0.8543,0.8922,0.0379,True,0.242,totalRNA_rRNAdepleted,Mesenchymal,-0.9462,-0.1798,1.3067,-0.1854,-0.2776,-0.3377,-0.9085,-1.0928,-0.9009,1.0251,0.231
4a91d152-b46f-4721-a868-7ed491f9af56,3,0.8534,0.8932,0.0398,True,0.206,polyA_selected,Mesenchymal,-0.541,-0.3575,0.963,-0.0652,0.0864,0.0314,-0.0274,-0.2628,-0.3728,0.8924,0.2313
