cluster,gene,log2FC,t,p,FDR
3,GNA15,1.5236937,20.162428,0.0,0.0
3,F13A1,1.5361366,19.99815,0.0,0.0
3,S100A11,1.4690242,18.713926,0.0,0.0
3,SERPINA1,1.4438682,17.266033,8.774191000000001e-39,3.2261445738156826e-35
3,DPYD,1.4404596,17.227823,1.0042019000000001e-38,3.2307684500492484e-35
3,CD14,1.442229,16.868326,5.072784699999999e-37,1.45070370044647e-33
3,GLIPR1,1.4961655,16.864561,2.3033678e-35,4.940340229434391e-32
3,NPC2,1.5390806,16.761526,8.320211999999999e-34,1.1896979169807246e-30
3,CACNA2D4,1.5352561,16.405268,1.3564266000000002e-32,1.5179003329672428e-29
3,CTSB,1.7015365,16.40004,2.2579671999999998e-29,1.3515246600310608e-26
3,C1S,1.260006,16.251616,2.9650900000000002e-40,1.5263105379206218e-36
3,ALOX5,1.4472952,16.22493,4.103721e-34,6.2130336266483835e-31
3,NCF4,1.4825191,16.169823,5.5484494e-33,6.80028552921371e-30
3,FCGR2B,1.4661018,16.087635,4.5105915e-33,5.8046800281571076e-30
3,RBM47,1.3376623,15.978048,3.0416297e-36,7.116860634688284e-33
3,MYO1G,1.4818876,15.887706,6.25085e-32,6.187860688776352e-29
3,FCGR2A,1.5200765,15.852319,5.7146804e-31,5.0718772695951505e-28
3,C1R,1.2833129,15.758243,6.660554599999999e-37,1.7142935006548096e-33
3,LRRC25,1.4223425,15.716807,1.0724051000000001e-32,1.2546165319043329e-29
3,CD163,1.4310098,15.668581,2.7316996e-32,2.9295202019629744e-29
3,PLAUR,1.5405207,15.567495,1.3071782999999998e-29,8.01051330092013e-27
3,CTSZ,1.4856834,15.466171,2.5413138000000002e-30,1.923774534225475e-27
3,ITGB2,1.3105421,15.422476,1.9141284e-34,3.079114823024137e-31
3,HK3,1.5410634,15.329915,7.8077585e-29,4.1011445633449287e-26
3,LAIR1,1.4156951,15.285459,3.7664480000000002e-31,3.462172726484142e-28
3,IL2RA,1.6321757,15.143186,6.510252e-27,2.1210235367770827e-24
