sample_id,cluster,consensus_membership,consensus_own,consensus_best_other,is_core,silhouette_sample,library_batch,verhaak_nearest,sig_Proneural,sig_Classical,sig_Mesenchymal,sig_Neural,pw_MTC_OXPHOS,pw_GPM_GLYCOLYSIS_LIPID,pw_PPR_PROLIFERATION,pw_NEU_NEURONAL,pw_OLIGODENDROCYTE_MYELIN,pw_IMMUNE_MYELOID,pw_HYPOXIA_ANGIOGENESIS
f8e0df1c-94bc-4e0f-b45e-51aa187c04d8,4,0.8025,0.8489,0.0464,True,0.3303,totalRNA_rRNAdepleted,Mesenchymal,0.0724,0.099,0.76,0.0573,-0.5511,0.1715,-0.3512,-0.4385,-0.1981,0.4895,0.3502
9aa2f274-51ab-4e29-b555-407bf3ef21fd,4,0.8009,0.8494,0.0485,True,0.411,totalRNA_rRNAdepleted,Mesenchymal,0.0607,-0.1127,0.7511,0.124,-0.839,0.1505,-0.4654,-0.5588,0.9274,0.7197,0.7104
887aaafb-3913-4418-9991-1c48d4ab7629,4,0.8,0.848,0.048,True,0.3918,totalRNA_rRNAdepleted,Neural,-0.0673,-0.177,0.1656,0.5919,-0.0988,-0.0586,0.9909,-0.2882,0.0016,0.3496,-0.0061
1ccc2b22-7f6c-4973-a6fa-f2c4d6be6dba,4,0.7974,0.8493,0.0518,True,0.3841,totalRNA_rRNAdepleted,Classical,-0.2291,0.5104,0.389,0.2181,0.0001,0.5899,-1.076,-0.463,0.527,0.362,0.5668
aab4bee0-b7a4-4671-b7e3-e11f11abe0e7,4,0.7969,0.8485,0.0515,True,0.4305,polyA_selected,Mesenchymal,0.0476,-0.351,0.3178,0.2447,-0.1314,-0.1541,0.5538,-0.1199,0.1845,0.3703,0.1696
efbd20eb-2922-4904-8cf1-88d5bb09ab30,4,0.796,0.849,0.053,True,0.4144,polyA_selected,Neural,0.0416,0.0464,0.4087,0.4617,-0.3946,0.1501,0.9206,-0.1241,0.0041,0.5563,0.1172
d088027b-e691-4962-bf1c-85abd24ac76c,4,0.7914,0.846,0.0546,True,0.2984,polyA_selected,Proneural,0.4844,-0.0817,0.4134,-0.0417,-0.6134,0.1262,-0.1275,-0.1091,0.6367,0.4572,0.5215
f26ac65f-2536-4431-9938-45de5996582e,4,0.787,0.8433,0.0563,True,0.2453,totalRNA_rRNAdepleted,Proneural,0.4946,0.3755,0.3807,-0.1124,-0.9035,-0.0184,0.4211,0.8839,0.635,0.2621,0.2377
7aaf54b8-2be8-4b92-91c9-cfc21671dc60,4,0.783,0.8475,0.0645,True,0.3452,polyA_selected,Mesenchymal,-0.0433,0.174,0.5652,0.42,0.0933,0.2934,-0.7057,0.9022,0.3531,0.512,-0.4192
6ce1df69-82de-4672-bdbc-0dc415983095,4,0.7812,0.8433,0.0621,True,0.3669,totalRNA_rRNAdepleted,Neural,0.2965,0.1945,0.2893,0.472,-0.2447,-0.4175,0.4464,-0.2908,0.8105,0.5519,-0.7465
