cluster,gene,log2FC,t,p,FDR
4,OTUD4,1.1700616,12.856364,6.501736e-27,1.6734168229148293e-22
4,MAP3K2,1.2120602,12.381511,2.366044e-24,2.0299079009652834e-20
4,LNPEP,1.2006218,12.1717615,9.5699036e-24,3.612265977191983e-20
4,CPLANE1,1.1752346,12.050905,1.1707616e-23,3.6840210149698966e-20
4,AFF1,1.1512033,11.936192,1.4313548e-23,3.6840210149698966e-20
4,NADK2-AS1,1.2608352,11.917336,4.1182154000000005e-22,5.578664521448655e-19
4,CMTR2,1.1370642,11.865995,1.6557596e-23,3.874176302113086e-20
4,SOS1,1.0303886,11.836794,4.7573075e-25,6.122178990490549e-21
4,RBM43,1.1819192,11.810942,1.0762208000000002e-22,1.9785551683674904e-19
4,RESF1,1.1151524,11.80321,1.3872818e-23,3.6840210149698966e-20
4,CHIC1,1.1944113,11.794949,1.7625421e-22,2.835269341499076e-19
4,DMXL1,1.0886599,11.741182,9.82433e-24,3.612265977191983e-20
4,C5orf51,1.073946,11.694698,9.035355e-24,3.612265977191983e-20
4,ZBTB41,1.0424442,11.575127,9.168458e-24,3.612265977191983e-20
4,ZNF117,1.0918685,11.558372,5.6814425e-23,1.218574733396741e-19
4,ZMYM6,1.1317949,11.4586,4.573014e-22,5.885011623184549e-19
4,MOB1B,1.1350706,11.418107,7.0288213e-22,8.223082179521403e-19
4,VPS13A,1.0959457,11.376404,3.171573e-22,4.801761559912935e-19
4,ITSN2,1.125265,11.362541,8.426446e-22,9.429559759509018e-19
4,MEF2A,1.0654423,11.339768,1.7015766e-22,2.835269341499076e-19
4,TASOR,1.0160434,11.273807,6.267696e-23,1.2409074036306128e-19
4,SMC5,1.1472167,11.264801,3.389841e-21,3.0085423710145774e-18
4,AC010226.1,1.1477456,11.173337,7.081524e-21,5.360713483017786e-18
4,ZMAT1,1.2073113,11.141908,3.6172198e-20,2.1651164289987164e-17
4,DYNC2H1,1.1444823,11.11036,1.0691687e-20,7.561433788761743e-18
4,ZNF655,1.0860684,11.054275,3.6534766e-21,3.1344394656141283e-18
4,AC069282.1,1.1074106,11.04858,6.79351e-21,5.298525967893338e-18
4,LRBA,1.0155995,11.037243,5.3922154e-22,6.608802044709632e-19
4,SAMD9L,1.0013986,11.026292,3.8337532000000003e-22,5.481841265129888e-19
4,ATRX,1.0608697,10.981604,3.3405437e-21,3.0085423710145774e-18
4,ZNF518A,1.0231363,10.953731,1.4273747000000001e-21,1.5307403233309242e-18
4,COBLL1,1.159945,10.924751,6.354377e-20,3.2068422407832675e-17
4,SREK1,1.1589726,10.882608,8.518488e-20,4.0601638079199325e-17
4,TRIM56,0.9974608,10.837527,1.872212e-21,1.927479719758814e-18
4,POLK,1.1261072,10.835542,5.800793e-20,3.0469551288968416e-17
4,INO80D,1.064452,10.821445,1.409993e-20,9.305231116192157e-18
4,TRAF3IP1,1.2105286,10.804662,4.2467731999999996e-19,1.3835880048603847e-16
4,GABPA,1.1047394,10.801793,4.5552232e-20,2.6235344410589878e-17
4,AFTPH,1.0825464,10.796356,2.757253e-20,1.6896709027221628e-17
4,SCAF11,1.1108198,10.783625,6.0664075e-20,3.122743872906457e-17
4,PTCD2,1.1994221,10.778173,4.1415955999999996e-19,1.3666203321349036e-16
4,KIAA1109,0.9764025,10.7156725,3.0023136000000003e-21,2.8619831566144053e-18
4,METTL14,0.98394907,10.7072525,4.0303273000000005e-21,3.315055344981817e-18
4,SS18,1.0568134,10.637082,5.2522137e-20,2.876201520751264e-17
4,IFT80,1.1242566,10.63644,2.5259687e-19,9.287626118136873e-17
4,AC092747.4,1.1015042,10.634193,1.5558213e-19,6.426459810517873e-17
4,ZC3H12C,1.0988839,10.625067,1.5730319e-19,6.426459810517873e-17
