sample_id,cluster,consensus_membership,consensus_own,consensus_best_other,is_core,silhouette_sample,library_batch,verhaak_nearest,sig_Proneural,sig_Classical,sig_Mesenchymal,sig_Neural,pw_MTC_OXPHOS,pw_GPM_GLYCOLYSIS_LIPID,pw_PPR_PROLIFERATION,pw_NEU_NEURONAL,pw_OLIGODENDROCYTE_MYELIN,pw_IMMUNE_MYELOID,pw_HYPOXIA_ANGIOGENESIS
fd950816-2bc3-4e25-90b4-6a6a049cd809,5,0.7574,0.8317,0.0742,True,0.3666,polyA_selected,Proneural,0.5477,-0.2072,-0.1524,0.4604,-0.3445,-0.2395,-0.6096,1.0562,1.3927,0.0351,-0.8923
7f316dbf-94f8-467e-89fc-ae78a91348b5,5,0.744,0.8324,0.0885,True,0.2585,totalRNA_rRNAdepleted,Neural,0.4613,-0.7047,-1.2978,1.7905,0.9757,0.3853,-2.8936,2.8581,1.1181,-1.1585,-1.3793
404948ed-abef-4949-8375-64908c0d52c0,5,0.7292,0.8437,0.1145,True,0.3195,polyA_selected,Neural,-0.2258,-0.4555,-0.2329,0.7711,0.4372,-0.4633,-1.7398,1.2824,0.9215,0.2329,-1.2611
ceb8abb5-067a-475c-99b2-128d66267b3f,5,0.7215,0.8326,0.1111,True,0.2703,polyA_selected,Neural,-0.1961,-0.8478,0.5018,1.1708,0.1576,-0.1094,-2.1278,1.5444,1.1739,1.2891,-0.2106
04b6d829-b031-4d9b-99cd-7f9007227edd,5,0.7122,0.8291,0.1169,True,0.2555,totalRNA_rRNAdepleted,Neural,-0.1948,-0.7022,0.6998,1.1018,0.3132,0.0116,-2.0231,1.3223,1.2227,1.4746,-0.2065
ecd2943f-37ab-4c0c-88ab-078c6ba15953,5,0.6977,0.8045,0.1067,True,0.1304,totalRNA_rRNAdepleted,Proneural,0.5657,0.0377,0.2445,0.3325,-0.7983,0.2002,0.2602,0.6067,1.3564,0.5389,0.2287
28016f07-a161-43bc-954d-d5ad756bb40b,5,0.6955,0.832,0.1365,True,0.2923,totalRNA_rRNAdepleted,Proneural,0.3301,-0.0567,0.2183,0.0162,0.0541,0.2512,0.4769,0.2908,0.3886,0.4974,0.0099
4ebf51c8-f12e-4c83-9bba-414e5ba20e7c,5,0.6952,0.8301,0.135,True,0.3743,totalRNA_rRNAdepleted,Proneural,0.6196,-0.3368,0.0492,0.2535,-0.4513,0.3022,-0.0023,0.6759,0.6273,0.3269,0.4752
71d11e4c-6fe8-47ba-91a5-6566158614fa,5,0.6909,0.8013,0.1104,True,0.2326,totalRNA_rRNAdepleted,Proneural,0.6815,-0.3784,0.1548,-0.1074,-0.4705,0.4532,0.3715,0.5829,0.3383,0.4344,0.7458
51aea3a7-011d-4f8b-af00-fc7c169591d9,5,0.6895,0.8039,0.1144,True,0.1876,totalRNA_rRNAdepleted,Neural,0.3267,-0.1631,-0.6728,1.0413,0.7668,-0.3135,0.6705,1.6298,0.1891,-0.521,-1.7028
229e6793-e11e-46c8-9307-1847243a311c,5,0.6862,0.8301,0.1439,True,0.35,totalRNA_rRNAdepleted,Proneural,0.6683,0.0051,0.1268,0.1984,0.1097,0.3992,0.4913,0.0413,1.3604,0.1209,0.0162
44aa45ef-4bcd-47eb-a2ef-68b614d00a51,5,0.6803,0.8127,0.1324,True,0.2623,polyA_selected,Neural,0.6992,-0.7673,-0.3368,1.5275,0.9223,-0.0119,-0.3755,2.0681,1.2596,0.0787,-0.3031
e013dfab-0f14-496c-98ff-4079c877aaf7,5,0.6777,0.805,0.1273,True,0.1408,totalRNA_rRNAdepleted,Neural,0.6627,-0.4871,-0.6027,0.7243,0.3514,-0.236,-0.3353,-0.3779,1.3881,-0.1371,-0.6098
4d3bdf9e-0c8b-4f1a-afdf-8a1c36114653,5,0.6761,0.8142,0.1381,True,0.1907,totalRNA_rRNAdepleted,Neural,-0.2224,-0.2188,0.3915,0.6544,0.0642,0.0603,-0.099,0.4033,0.8113,0.8872,0.0949
2d9df1f6-8588-41a5-ac9c-e4034726b796,5,0.6737,0.8121,0.1384,True,0.2008,totalRNA_rRNAdepleted,Mesenchymal,-0.2303,-0.3245,0.7045,0.6342,0.4379,0.4994,-0.4526,1.3528,0.4614,0.8778,0.2924
8a3d5786-f5fe-4c3b-9a58-23a3a0bfa6d4,5,0.6714,0.8131,0.1416,True,0.195,totalRNA_rRNAdepleted,Proneural,0.6155,-0.3007,-0.2297,0.3307,0.2981,0.4403,-0.3857,0.537,1.3096,-0.0401,0.593
1edd3f30-2fe9-47a5-8f79-c75b29ec0b3c,5,0.6705,0.8123,0.1418,True,0.1469,totalRNA_rRNAdepleted,Mesenchymal,0.0644,0.054,0.4994,0.0424,-0.2901,0.04,-0.4133,0.2105,0.5033,0.8443,0.0914
075029c6-31b2-4b4a-9945-b905fc6bf730,5,0.6659,0.8077,0.1418,True,0.1743,polyA_selected,Mesenchymal,-0.2705,-0.0959,0.5387,0.2063,-0.1697,0.0631,0.2874,0.8188,0.2536,0.9368,0.0096
c93e41f3-3a23-4757-af8c-af11fab60b52,5,0.6655,0.8187,0.1532,True,0.1788,polyA_selected,Neural,-0.0059,-0.5312,0.0008,0.5253,0.5664,-0.547,-0.3767,0.2522,0.3766,0.4486,0.2693
9b1f39e2-a587-4fde-afd2-e0808a7766c1,5,0.6635,0.7875,0.1241,True,0.2308,polyA_selected,Neural,0.6581,-0.0875,-0.2825,1.4426,0.3463,0.5673,-0.4262,2.4681,1.7641,-0.3505,-0.0054
