cluster,gene,log2FC,t,p,FDR
5,TUBB4A,1.4805056,14.599429,2.2432078e-24,5.773568164194694e-20
5,LGI3,1.5668103,14.195608,2.7069107e-22,2.3223489986851568e-18
5,MAG,1.3347719,13.080518,5.635557e-22,3.352742024561978e-18
5,FA2H,1.4285071,13.009879,9.655001e-21,3.550005835472836e-17
5,BCAS1,1.25984,12.92942,1.525173e-22,1.9627451176089404e-18
5,TF,1.292183,12.872714,6.513214e-22,3.352742024561978e-18
5,PPP1R16B,1.5563508,12.581005,9.210357e-19,1.4816011263378973e-15
5,MBP,1.4132423,12.400895,2.2611415999999997e-19,4.849771842799222e-16
5,SRCIN1,1.4216009,12.118454,1.2230110999999998e-18,1.851638935431644e-15
5,MOG,1.3196826,12.101632,1.9558203e-19,4.849771842799222e-16
5,UGT8,1.1445242,12.078681,1.8506359e-21,7.938611157349017e-18
5,PLP1,1.2751571,12.025898,1.1482348999999999e-19,3.2836966264985533e-16
5,VSTM2B,1.2762054,11.820585,4.2581327e-19,8.430447903567243e-16
5,CNP,1.482204,11.796899,1.5296417e-17,1.7117355615666213e-14
5,ADCY5,1.2952971,11.492536,4.429572e-18,5.700416538540615e-15
5,TMEM151A,1.4403366,11.463733,4.6194894000000004e-17,4.4035710488291544e-14
5,RASGEF1C,1.1814526,11.455659,4.9932923e-19,9.17981152944561e-16
5,SYNDIG1,1.061234,11.44298,1.621406e-20,5.2164682875333697e-17
5,MYRF,1.3204155,11.307165,1.9318805e-17,1.9889096879860403e-14
5,STMN4,1.0655782,11.130162,2.1701378e-19,4.849771842799222e-16
5,DUSP26,1.1001389,11.114113,6.564636e-19,1.1264040644231449e-15
5,PRKCZ,1.4168696,11.072235,2.380833e-16,1.831869776376263e-13
5,GABRA3,1.250034,11.006972,3.3075237e-17,3.2741940252127883e-14
5,OPCML,1.1384887,11.003828,3.6844014e-18,4.9910066513925805e-15
5,GPR62,1.5891738,10.997587,1.6408839e-15,8.884616133075784e-13
5,KCNK1,1.3911158,10.987993,2.6768488e-16,1.9684782078176002e-13
5,AATK,1.3609802,10.882672,3.1685298e-16,2.146095344563769e-13
5,ZNF488,1.2453336,10.878313,6.3987086e-17,5.6789642433052734e-14
5,MMD2,1.0540091,10.823736,1.5409531999999998e-18,2.203391887890295e-15
5,CNTN2,1.3284136,10.817714,2.948237e-16,2.1078256327855538e-13
5,ENPP2,1.2171797,10.704558,1.0959819000000001e-16,9.09947800353089e-14
5,KIF1A,1.0851215,10.678413,9.565119e-18,1.1190319208670168e-14
5,TPPP,1.3350282,10.642404,7.834968e-16,4.689683718880836e-13
5,ANKS1B,1.235122,10.567332,3.149376e-16,2.146095344563769e-13
5,ELMO1,1.0639079,10.51449,1.7922261e-17,1.922013076761005e-14
5,NSG2,1.216119,10.474446,3.9967975e-16,2.571739262519079e-13
5,SNAP91,1.2317169,10.441873,6.001106e-16,3.6775348804556143e-13
5,KLHL32,1.1223172,10.430093,1.0719744000000001e-16,9.09947800353089e-14
5,FBXO2,1.326985,10.388582,2.5544047e-15,1.289122947823125e-12
5,SOX10,1.1869906,10.384799,4.27386e-16,2.682941732938707e-13
5,BIN1,1.2823817,10.374502,1.6569337e-15,8.884616133075784e-13
5,GJB1,1.3441908,10.370265,3.3456548e-15,1.5946382588879522e-12
5,PHACTR3,0.9724668,10.341849,5.911004e-18,7.244639561906576e-15
5,SEPTIN3,1.1293398,10.319358,2.4199072000000003e-16,1.831869776376263e-13
5,ATCAY,1.0473557,10.31175,4.9232073e-17,4.525482326428068e-14
5,RAB33A,1.1357183,10.281747,3.3981562e-16,2.2426086984590366e-13
5,GAL3ST1,1.3328826,10.261533,5.075989e-15,2.252513788518915e-12
5,APLP1,1.2156459,10.24294,1.4314446e-15,8.009243932323259e-13
5,KCNIP2,1.2873868,10.190921,4.485416e-15,2.061529270704275e-12
5,CA10,1.2182021,10.189805,1.977014e-15,1.0176877396350648e-12
5,ELFN2,1.2145066,10.126764,2.6498354e-15,1.311566640550287e-12
5,MOBP,1.368428,10.124695,1.3585901e-14,5.1422636573709095e-12
5,SLC45A3,1.3687624,10.041923,2.0046285e-14,7.47755480722884e-12
5,SH3GL3,1.4154097,10.027389,3.0899315e-14,1.0747115659866207e-11
5,TMEM125,1.4748341,9.983988,5.6200944e-14,1.7220237140997644e-11
5,MTURN,1.2502421,9.9805765,8.72303e-15,3.4540513611684805e-12
5,SLC7A14,1.2356069,9.944697,8.925978e-15,3.480861011886517e-12
5,NKX6-2,1.3325444,9.943266,2.3407623e-14,8.485428322432468e-12
5,PGAP4,1.1367307,9.9104805,3.0560712e-15,1.4840973052165289e-12
5,TMEFF2,1.0966464,9.88851,1.8865569e-15,9.909428719766729e-13
5,KCNJ9,1.2374761,9.8875,1.2233928e-14,4.699654430128876e-12
5,TMEM235,1.4890804,9.884378,9.37672e-14,2.7116631037982728e-11
5,PLEKHB1,0.98190993,9.879038,2.2379317e-16,1.7999965125185813e-13
5,MPP2,1.0598218,9.868047,1.1479368e-15,6.565688579238424e-13
5,DNAJC6,1.342009,9.832297,4.2713927e-14,1.4094500495495583e-11
5,MAL,1.3827024,9.798737,6.803031e-14,2.036004827265036e-11
5,CELF5,1.1281242,9.77895,5.724378e-15,2.497187014610564e-12
5,KLK6,1.2804445,9.778705,3.2400772e-14,1.1119081211319326e-11
5,EDIL3,1.1174262,9.747759,5.8838275e-15,2.5239659899127056e-12
5,ANO4,1.2976357,9.672191,6.2995135e-14,1.907492725863716e-11
5,HAPLN2,1.2562076,9.653969,4.7729548e-14,1.5355788862692065e-11
5,SHISA7,1.0680317,9.557734,8.654527e-15,3.4540513611684805e-12
5,ADAP1,1.6011583,9.544417,6.465753e-13,1.4597855867573902e-10
5,CARNS1,1.3409956,9.498914,1.9654833e-13,5.3250115428227214e-11
5,SLC24A2,1.1707671,9.490714,4.6492283e-14,1.5147067847537176e-11
5,FAM163B,1.3350596,9.490147,1.9620694e-13,5.3250115428227214e-11
5,SEPTIN4,1.3554832,9.483297,2.3283868e-13,6.178146196237688e-11
5,NKAIN2,1.4096,9.433852,4.050121e-13,9.652038016575396e-11
5,FCHO1,1.1818129,9.409033,7.964754e-14,2.3562855370566165e-11
5,SEC14L5,1.4889419,9.392921,7.28518e-13,1.6304865863256289e-10
5,TAFA5,0.89863837,9.384491,1.1283493e-15,6.565688579238424e-13
5,DSCAML1,0.97682285,9.360533,6.5454086e-15,2.761733237363845e-12
5,BOK,1.2277157,9.342606,1.7039098e-13,4.81925610529288e-11
5,CHGA,1.3122872,9.331444,3.453217e-13,8.464656700436449e-11
5,PLCL1,1.0693501,9.311967,3.6670838e-14,1.2418868565090617e-11
5,TAGLN3,1.0938638,9.306238,5.176074e-14,1.624655965315469e-11
5,NECTIN1,1.088855,9.303136,4.949851e-14,1.5728304803968248e-11
5,JPH4,1.0203589,9.284268,2.1559364e-14,7.927070111435341e-12
5,AK5,1.4745944,9.274496,1.1094874e-12,2.340654591823862e-10
5,CDKN1C,1.0346508,9.273265,2.8423095e-14,1.00212828902737e-11
5,TMCC2,1.2619867,9.270603,3.1792925e-13,7.944527452294106e-11
5,JPH3,1.2784398,9.25444,3.8758284e-13,9.410950006704384e-11
5,ENHO,0.9018171,9.229039,3.65868e-15,1.7121291758086117e-12
5,ARFGEF3,1.0373673,9.225919,3.8996028e-14,1.3034802674456996e-11
5,CLDN11,1.1009177,9.218058,9.128337e-14,2.6698312752512525e-11
5,LY6H,1.2345287,9.209526,3.4335693e-13,8.464656700436449e-11
5,SPOCK3,1.296653,9.203019,5.58187e-13,1.282733681178578e-10
5,PLPPR1,0.9272297,9.200509,7.44204e-15,3.0894068665306367e-12
5,LINGO1,0.9973633,9.192256,2.6468418e-14,9.46172384269022e-12
5,OPALIN,1.5809965,9.179794,2.4960682e-12,4.4925738964250176e-10
