source,independent,cluster,cluster_name,n_patients,best_matching_signature,matching_percent,runner_up,runner_up_percent,margin,n_signatures_in_source,chance_baseline_pct,enrichment_over_chance,mean_score_in_cluster,mean_score_elsewhere,welch_t,p_value,cohens_d,significant_FDR
A_Verhaak2010,False,0,MTC_Mitochondrial_OXPHOS,40,Neural,35.0,Classical,32.5,2.5,4,25.0,1.4,0.0,-0.0,0.01,0.9958544,0.0,False
A_Verhaak2010,False,1,PN_Proneural_Progenitor,49,Proneural,98.0,Classical,2.0,95.9,4,25.0,3.92,1.042,-0.183,22.54,0.0,2.7,True
A_Verhaak2010,False,2,CL_Classical_EGFR,65,Classical,81.5,Proneural,7.7,73.8,4,25.0,3.26,0.614,-0.152,11.45,8.399349e-20,1.58,True
A_Verhaak2010,False,3,MES_Mesenchymal_Immune,63,Mesenchymal,98.4,Neural,1.6,96.8,4,25.0,3.94,0.915,-0.217,21.24,0.0,2.54,True
A_Verhaak2010,False,4,INT_Intermediate_Mixed,67,Mesenchymal,37.3,Neural,23.9,13.4,4,25.0,1.49,0.211,-0.054,3.88,0.00014654199,0.45,True
A_Verhaak2010,False,5,OLIGO_Neural_Myelin,44,Proneural,45.5,Neural,36.4,9.1,4,25.0,1.82,0.408,-0.063,6.35,8.60412e-09,0.82,True
B_Neftel2019_CellStates,True,0,MTC_Mitochondrial_OXPHOS,40,AC_like,55.0,MES_like,17.5,37.5,4,25.0,2.2,0.214,-0.03,3.19,0.002041228,0.42,True
B_Neftel2019_CellStates,True,1,PN_Proneural_Progenitor,49,NPC_like,53.1,OPC_like,46.9,6.1,4,25.0,2.12,0.824,-0.145,12.94,1.5502326e-20,1.9,True
B_Neftel2019_CellStates,True,2,CL_Classical_EGFR,65,MES_like,38.5,AC_like,38.5,0.0,4,25.0,1.54,0.011,-0.003,0.16,0.87630177,0.02,False
B_Neftel2019_CellStates,True,3,MES_Mesenchymal_Immune,63,MES_like,85.7,AC_like,11.1,74.6,4,25.0,3.43,0.644,-0.153,13.07,4.2512947e-27,1.53,True
B_Neftel2019_CellStates,True,4,INT_Intermediate_Mixed,67,AC_like,37.3,NPC_like,31.3,6.0,4,25.0,1.49,0.217,-0.056,3.58,0.00047774252,0.44,True
B_Neftel2019_CellStates,True,5,OLIGO_Neural_Myelin,44,OPC_like,56.8,AC_like,18.2,38.6,4,25.0,2.27,0.617,-0.096,10.62,2.7437492e-17,1.39,True
C_Garofano2021_PathwaySubtype,True,0,MTC_Mitochondrial_OXPHOS,40,MTC_mitochondrial,72.5,PPR_proliferative,15.0,57.5,4,25.0,2.9,0.3,-0.042,8.03,2.6738922e-11,1.16,True
C_Garofano2021_PathwaySubtype,True,1,PN_Proneural_Progenitor,49,PPR_proliferative,63.3,NEU_neuronal,28.6,34.7,4,25.0,2.53,0.622,-0.109,8.15,1.7997773e-11,1.29,True
C_Garofano2021_PathwaySubtype,True,2,CL_Classical_EGFR,65,PPR_proliferative,55.4,MTC_mitochondrial,26.2,29.2,4,25.0,2.22,0.211,-0.052,3.99,0.0001043614,0.48,True
C_Garofano2021_PathwaySubtype,True,3,MES_Mesenchymal_Immune,63,GPM_glycolytic,73.0,MTC_mitochondrial,19.0,54.0,4,25.0,2.92,0.058,-0.014,2.11,0.037349973,0.3,True
C_Garofano2021_PathwaySubtype,True,4,INT_Intermediate_Mixed,67,NEU_neuronal,40.3,PPR_proliferative,34.3,6.0,4,25.0,1.61,0.154,-0.039,3.2,0.001670485,0.38,True
C_Garofano2021_PathwaySubtype,True,5,OLIGO_Neural_Myelin,44,NEU_neuronal,75.0,MTC_mitochondrial,9.1,65.9,4,25.0,3.0,0.626,-0.097,7.85,1.8950219e-10,1.34,True
D_Hallmark_Orthogonal,True,0,MTC_Mitochondrial_OXPHOS,40,Inflammatory_response,55.0,EMT_mesenchymal,45.0,10.0,2,50.0,1.1,-0.282,0.039,-5.99,1.0051233e-07,-0.86,True
D_Hallmark_Orthogonal,True,1,PN_Proneural_Progenitor,49,EMT_mesenchymal,67.3,Inflammatory_response,32.7,34.7,2,50.0,1.35,-0.29,0.051,-6.29,1.9315284e-08,-0.91,True
D_Hallmark_Orthogonal,True,2,CL_Classical_EGFR,65,EMT_mesenchymal,61.5,Inflammatory_response,38.5,23.1,2,50.0,1.23,-0.044,0.011,-1.3,0.19410396,-0.15,False
D_Hallmark_Orthogonal,True,3,MES_Mesenchymal_Immune,63,Inflammatory_response,60.3,EMT_mesenchymal,39.7,20.6,2,50.0,1.21,0.467,-0.111,13.95,9.420798e-28,1.73,True
D_Hallmark_Orthogonal,True,4,INT_Intermediate_Mixed,67,Inflammatory_response,59.7,EMT_mesenchymal,40.3,19.4,2,50.0,1.19,0.184,-0.047,5.0,1.5881452e-06,0.6,True
D_Hallmark_Orthogonal,True,5,OLIGO_Neural_Myelin,44,Inflammatory_response,63.6,EMT_mesenchymal,36.4,27.3,2,50.0,1.27,0.027,-0.004,0.59,0.55448186,0.08,False
E_Lineage_Markers,True,0,MTC_Mitochondrial_OXPHOS,40,Astrocyte,22.5,Astrocyte,22.5,0.0,6,16.7,1.35,0.138,-0.019,1.89,0.06185495,0.25,False
E_Lineage_Markers,True,1,PN_Proneural_Progenitor,49,Proliferation,57.1,Oligodendrocyte_myelin,16.3,40.8,6,16.7,3.43,0.71,-0.125,5.31,1.7986446e-06,0.89,True
E_Lineage_Markers,True,2,CL_Classical_EGFR,65,Proliferation,35.4,Astrocyte,32.3,3.1,6,16.7,2.12,0.158,-0.039,1.95,0.05335957,0.24,False
E_Lineage_Markers,True,3,MES_Mesenchymal_Immune,63,Myeloid_microglia,63.5,Hypoxia_necrosis,31.7,31.7,6,16.7,3.81,0.935,-0.222,14.74,5.8160372e-30,1.81,True
E_Lineage_Markers,True,4,INT_Intermediate_Mixed,67,Oligodendrocyte_myelin,19.4,Neuron,19.4,0.0,6,16.7,1.16,0.142,-0.036,1.87,0.0632409,0.23,False
E_Lineage_Markers,True,5,OLIGO_Neural_Myelin,44,Oligodendrocyte_myelin,45.5,Neuron,36.4,9.1,6,16.7,2.73,1.07,-0.166,12.78,1.0694426e-19,1.87,True
