source,signature,genes_in_signature,genes_matched,coverage_pct
A_Verhaak2010,Proneural,177,174,98.3
A_Verhaak2010,Classical,161,158,98.1
A_Verhaak2010,Mesenchymal,216,215,99.5
A_Verhaak2010,Neural,128,125,97.7
B_Neftel2019_CellStates,MES_like,24,24,100.0
B_Neftel2019_CellStates,AC_like,18,18,100.0
B_Neftel2019_CellStates,OPC_like,18,18,100.0
B_Neftel2019_CellStates,NPC_like,18,18,100.0
C_Garofano2021_PathwaySubtype,MTC_mitochondrial,200,198,99.0
C_Garofano2021_PathwaySubtype,GPM_glycolytic,199,182,91.5
C_Garofano2021_PathwaySubtype,PPR_proliferative,200,199,99.5
C_Garofano2021_PathwaySubtype,NEU_neuronal,198,185,93.4
D_Hallmark_Orthogonal,EMT_mesenchymal,200,196,98.0
D_Hallmark_Orthogonal,Inflammatory_response,200,177,88.5
E_Lineage_Markers,Oligodendrocyte_myelin,17,17,100.0
E_Lineage_Markers,Myeloid_microglia,19,18,94.7
E_Lineage_Markers,Astrocyte,14,14,100.0
E_Lineage_Markers,Neuron,16,16,100.0
E_Lineage_Markers,Proliferation,14,13,92.9
E_Lineage_Markers,Hypoxia_necrosis,12,12,100.0
